"name","statistic","pval","pval.adjusted","common.lang.eff.size","rank.biserial.corr.eff.size","r.eff.size","l2fc.patient.by.control","mean.control","mean.patient"
"Bacteroides.Otu0001",271,0.093732521398763,0.281349100081967,0.654589371980676,0.309178743961353,0.261751746772012,1.20641646489709,0.049930163126601,0.115220704979579
"Bacteroides.Otu0006",273,0.0845717132201973,0.274858067965641,0.659420289855073,0.318840579710145,0.269361408547562,1.04683638874555,0.00508835747445499,0.0105125183756713
"Bacteroides.Otu0069",266,0.122225301844876,0.340484769425013,0.642512077294686,0.285024154589372,0.241366592328146,1.22536483816561,0.00603304435001039,0.0141061367528885
"Lachnospiracea_incertae_sedis.Otu0778",145,0.096811910150265,0.283174837189525,0.35024154589372,-0.29951690821256,0.25932808380413,-0.262079399364491,0.00217400095594222,0.00181286711177063
"Bacteroides.Otu0863",262,0.152679120550761,0.377204231311572,0.632850241545894,0.265700483091788,0.223349103633309,1.62011488868989,0.01045964409632,0.0321528952199945
"Clostridium_XI.Otu1804",151,0.142217394417635,0.369765225485852,0.364734299516908,-0.270531400966184,0.229198035062595,0.590851867512432,0.00794087130473054,0.0119600306525984
"Bacteroides.Otu2481",149.5,0.0114331770300962,0.0836051070325781,0.361111111111111,-0.277777777777778,0.394990407413325,-52,0.0150201109009489,0
"Bacteroides.Otu2460",263.5,0.132485587826217,0.357812237007447,0.636473429951691,0.272946859903382,0.234943447758546,1.90212182140458,0.000745561399751372,0.00278662891173928
"Ruminococcus.Otu0422",149.5,0.0114331770300962,0.0836051070325781,0.361111111111111,-0.277777777777778,0.394990407413325,-52,0.00719382451986963,0
"Alistipes.Otu0529",150,0.0811127365232197,0.271148290663335,0.36231884057971,-0.27536231884058,0.272408565830226,-0.77117537919024,0.00254193521208506,0.0014894212857045
"Prevotella.Otu0634",152,0.0932840253535335,0.281349100081967,0.367149758454106,-0.265700483091787,0.262110044600877,-0.30541476789585,0.00419504917075247,0.00339467380657837
"Bacteroides.Otu2416",260.5,0.154750453871414,0.377204231311572,0.629227053140097,0.258454106280193,0.222227560259732,2.05582713473219,0.000622551011650264,0.00258845474623046
"Lachnospiraceae.Otu1734",152.5,0.152133645242177,0.377204231311572,0.368357487922705,-0.263285024154589,0.223646380267923,0.633587084011079,0.0011798953809277,0.00183051047352817
"Clostridium_XI.Otu2681",156.5,0.167136070172149,0.399080004288602,0.378019323671498,-0.243961352657005,0.215748566650818,2.24293081593404,0.00110847901373727,0.00524707085764221
"Parabacteroides.Otu1736",164,0.253788200959263,0.530236062718459,0.396135265700483,-0.207729468599034,0.178224935277174,2.44197774803768,0.00448488381862587,0.02437023673497
"Sutterella.Otu1997",159,0.134561866908784,0.357812237007447,0.384057971014493,-0.231884057971015,0.233690971339313,0.361789231930648,0.00268682387083368,0.00345261862518837
"Faecalibacterium.Otu0067",162.5,0.245133591664133,0.530236062718459,0.392512077294686,-0.214975845410628,0.181513084898302,-0.537059278264145,0.0256444003821926,0.0176734606238968
"Bacteroides.Otu2534",252.5,0.0428580006885527,0.188561744956655,0.609903381642512,0.219806763285024,0.316266110368599,9.85498601176815,3.83036097018344e-06,0.00354720346402649
"Bacteroides.Otu2437",161,0.208776842510859,0.478958638701382,0.388888888888889,-0.222222222222222,0.196300410137199,-1.84464441359115,0.0109803555191338,0.00305719472800395
"Lachnospiracea_incertae_sedis.Otu0651",164,0.249455263061859,0.530236062718459,0.396135265700483,-0.207729468599034,0.179861183978464,-1.10143149958567,0.00231226735641488,0.00107764105527373
