"Bacteroides"	"Prevotella"	"Unclassified_Lachnospiraceae"	"Alistipes"	"Faecalibacterium"	"Ruminococcus"	"Parabacteroides"	"Unclassified_Ruminococcaceae"	"Lachnospiracea_incertae_sedis"	"Blautia"	"Unclassified_Clostridiales"	"Clostridium_XI"	"Escherichia_Shigella"	"Erysipelotrichaceae_incertae_sedis"	"Unclassified_Bacteria"	"Clostridium_IV"	"Sutterella"	"Megamonas"	"Bifidobacterium"	"Akkermansia"	"Clostridium_XlVa"	"Roseburia"	"Dorea"	"Unclassified_Firmicutes"	"Lactobacillus"	"Unclassified_Bacteroidales"	"Clostridium_XVIII"	"Gemmiger"	"Streptococcus"	"Enterococcus"	"Clostridium_sensu_stricto"	"Oscillibacter"	"Unclassified_Enterobacteriaceae"	"Phascolarctobacterium"	"Odoribacter"	"Klebsiella"	"Barnesiella"	"Unclassified_Prevotellaceae"	"Catenibacterium"	"Unclassified_Burkholderiales"
0.0179662696547946	0.19654782641875	0.0521166190085448	0.0103926260256717	0.105669015363627	0.0103926260256717	0.00211379092192717	0.0206080181340994	0.0239540241050675	0.00986420501202473	0.0103926260256717	0.0415592880323253	0.00176149283575366	0	0.015500524254667	0.0169095341263166	0.00176149283575366	0.130508192047438	0.0343423771024078	0	0.00651748072157405	0.00405142453401989	0.00546060347716855	0.00405142453401989	0.180279582130514	0.000528448099413653	0.000176149373758775	0.00422757239927347	0.00176149283575366	0	0.000176149373758775	0.0132108188255669	0	0.0345184221200456	0.000880746759480538	0	0.00140919453095443	0.000528448099413653	0	0
0.143469875059383	0.000539859610270975	0.110625402016966	0.0115167509884212	0.119206408371871	0.182005892180435	0.0134960812031282	0.0277092486657001	0.0970224451247602	0.0580922080083087	0.0413774307939547	0.0136760178083789	0	0.00143962520004314	0.0420966171323539	0.0242912946565595	0	0	0.0079178586032884	0.00539857014174871	0.00827775322566336	0.0113368095242231	0.012236513058147	0.012236513058147	0	0.00107971906320081	0.00341910436941647	0.00629832078450186	0.000359906416559737	0.00377900846084505	0.00251934230522664	0.00593842109846135	0.00251934230522664	0	0	0	0	0	0	0
0.554287478205857	0	0.111095706521698	0.00806133303412991	0.0126676074629517	0.000383877149880892	0.0188088717726319	0.0126676074629517	0.0291705269690686	0.0099806404406478	0.0337747683096877	0.0015355080338364	0.000383877149880892	0.00307101244729005	0.00690973388388898	0.0345420749201238	0	0.0498833402874271	0.0011516312233677	0	0.00575812557017099	0.0168897919868516	0.0138191378940864	0.000383877149880892	0	0.000767754243193021	0.00499038235764758	0	0.00307101244729005	0	0	0.00230326091938289	0	0.00921292149392405	0	0	0	0	0	0.0103644977364293
0.603155979993545	0	0.064908688681388	0.0608822309300892	0.0289093672884732	0.00295857556550274	0.0745677784762514	0.00201721218762	0.0361674775515953	0.0272962336610018	0.0104893181391911	0.00376545640573163	0	0	0.00228617337161661	0.00282409522400855	0	0	0.000268961804180543	0	0.00658951659373454	0.00416889593936253	0.00242065390281281	0.0075308594236545	0	0.00201721218762	0.0138510901832139	0.00215169279907499	0.000134480903306323	0	0	0.000134480903306323	0	0.00107584702215409	0	0	0	0	0	0
0.319275447105043	0.00215146133506046	0.038430012147225	0.30245305469983	0.0140557620752151	0.0286822404285508	0.0232337100079239	0.0561953182662201	0.0185015262055011	0.0174976728048059	0.011617638832474	0.00645434417130356	0.000286861728710573	0.000143430865830646	0.0174976728048059	0.000573723433815398	0.00129087743838979	0	0.00372919388079759	0.00731490894804208	0.00286861339217112	0.00315547382257419	0.0027251830869738	0.0027251830869738	0.000143430865830646	0.0172108542648645	0.000860585091708744	0.0107571075125504	0.000717154270138863	0	0.000860585091708744	0.0179278979086833	0	0	0.0203657751541541	0	0.0172108542648645	0	0	0
0.443927733762022	0.00213128568400957	0.0232289424933005	0.115895536283552	0.0210981789608575	0.0245073506202957	0.0228027979128472	0.0538954729433434	0.0087381667181737	0.00426256168698947	0.0202458461887154	0.0106562348077652	0.00468881487395469	0.000852514815745745	0.0049019411528107	0.0840867229406559	0	0	0.000213128728139249	0.0223766491921016	0.00511506720900879	0.00596756901362264	0.00447568838212087	0.00916440709796871	0	0.00170502901190027	0.00575444394485564	0.00404943479824078	0.0014919005548321	0	0.00618069381133254	0.0151315623748745	0.000426257446597371	0.0245073506202957	0	0.000213128728139249	0.0132135967275475	0	0	0
0.365938562805839	0	0.0225605357867999	0.106166283266138	0.00376039941050561	0.317752390073466	0.0230975970070111	0.019875135186373	0.0131610490072601	0.00376039941050561	0.0139667766383143	0.00537198598071786	0	0.0013430025508874	0.0163839030416229	0.0322264925006801	0.000268600587691545	0	0.00537198598071786	0.000268600587691545	0.00241740296380616	0.00161160284790144	0.00537198598071786	0.00241740296380616	0	0.0013430025508874	0.000805801685560528	0	0.00268600267946803	0.000268600587691545	0	0.00376039941050561	0	0	0	0	0	0	0	0
0.173789474650614	0	0.00393390016027896	0	0	0	0.489640470906122	0.000393391020537864	0	0	0.00078678198019593	0.0444385589193378	0.173789474650614	0.0102279884689053	0.00078678198019593	0	0	0	0	0	0	0	0	0	0	0.00629421493106899	0.00157356347335398	0	0.000393391020537864	0.000393391020537864	0.000393391020537864	0	0.0625084592969626	0.000393391020537864	0	0.00078678198019593	0	0	0	0
0.784808900114028	0.000359971194529682	0.00323973515341738	0.0280740658570174	0.00899915859117742	0.0428234832280755	0.00719936185445441	0.0104389752727525	0.00323973515341738	0.00107991339700994	0.000719942342414573	0.00179985503975374	0	0	0.00251979574960635	0.00863920138927177	0	0	0.00143988431167115	0	0.000719942342414573	0.000719942342414573	0.000359971194529682	0.000719942342414573	0	0.00107991339700994	0.000359971194529682	0	0	0	0	0.00395967287804255	0	0	0	0	0	0	0	0
0.0261110225167505	0.325614514359522	0.0553085847267945	0.023831940890015	0.101586840412753	0.0795017170185939	0.000829015449082341	0.0722686827603475	0.033154547382047	0.0457871086627532	0.0387467807817193	0.00725382239666417	0.000414507760150834	0.000621761617970208	0.039782251868874	0.0122276745667835	0.00518132396715547	0	0.00953353434140201	0	0.0076683186286644	0.016786776348384	0.00746107067289444	0.0105697513772853	0	0	0.00103626924458483	0.00932628967026469	0.000207253884526626	0	0.00269429725837615	0.000829015449082341	0	0	0.000207253884526626	0	0.000829015449082341	0.0279756253484811	0	0
