"Bacteroides"	"Prevotella"	"Unclassified_Lachnospiraceae"	"Alistipes"	"Faecalibacterium"	"Ruminococcus"	"Unclassified_Ruminococcaceae"	"Lachnospiracea_incertae_sedis"	"Blautia"	"Clostridium_XI"	"Unclassified_Clostridiales"	"Erysipelotrichaceae_incertae_sedis"	"Clostridium_IV"	"Parabacteroides"	"Unclassified_Bacteria"	"Megamonas"	"Escherichia_Shigella"	"Bifidobacterium"	"Sutterella"	"Akkermansia"	"Roseburia"	"Dorea"	"Clostridium_XlVa"	"Lactobacillus"	"Unclassified_Firmicutes"	"Unclassified_Bacteroidales"	"Unclassified_Lactobacillales"	"Streptococcus"	"Gemmiger"	"Enterococcus"	"Clostridium_sensu_stricto"	"Clostridium_XVIII"	"Phascolarctobacterium"	"Oscillibacter"	"Odoribacter"	"Klebsiella"	"Barnesiella"	"Unclassified_Prevotellaceae"	"Coprococcus"	"Flavonifractor"	"Catenibacterium"	"other"
1393	0	84	396	14	1203	74	49	14	20	52	5	120	86	61	0	0	20	1	1	6	20	9	0	9	5	0	10	0	1	0	3	0	14	0	0	0	0	1	5	0	47
2411	1	9	78	25	119	29	9	3	5	2	0	24	20	7	0	0	4	0	0	2	1	2	0	2	3	0	0	0	0	0	1	0	11	0	0	0	0	0	0	0	10
126	1599	267	115	491	384	349	160	221	35	187	3	59	4	192	0	2	46	25	0	81	36	37	0	51	0	0	1	45	0	13	5	0	4	1	0	4	135	82	3	0	62
8487	3	873	80	612	487	439	553	210	203	222	76	50	144	51	0	9	81	83	0	236	182	103	2	28	19	0	3	20	0	4	45	0	41	82	0	0	0	0	48	0	174
2132	5	696	252	361	227	564	444	145	47	116	12	77	80	45	0	0	0	166	0	126	30	133	0	162	24	0	7	57	0	56	50	0	27	123	0	15	0	159	5	0	116
14198	1	753	0	623	346	144	267	161	47	89	0	14	89	37	194	0	14	31	0	62	39	39	0	26	12	0	4	99	0	4	21	0	9	0	0	1	2	1	5	0	82
8933	3	523	113	119	55	139	270	367	10	89	14	33	0	10	0	0	7	0	0	69	11	76	0	71	2	0	5	86	0	135	120	0	0	0	0	0	0	0	63	0	226
2402	0	3	0	51	0	1	0	1	0	2	0	0	3	0	0	0	0	0	2	1	0	1	0	0	15	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	7
1429	474	0	72	126	1	15	1	3	11	3	0	0	132	4	0	0	0	152	0	0	0	2	0	0	169	0	0	5	0	23	0	0	0	0	0	1	0	0	0	0	5
6746	6710	187	1295	78	27	36	52	67	8	51	16	37	331	69	0	0	1	211	0	56	65	14	0	5	83	0	1	11	2	1	7	5	17	158	0	3	52	1	2	0	68
1564	0	93	47	100	4	68	23	10	24	22	21	31	102	19	0	0	65	16	544	11	39	26	0	9	9	0	15	37	0	60	35	54	1	4	0	0	0	2	5	0	45
3082	0	21	0	37	11	4	4	23	1	20	13	2	0	6	0	0	1	6	0	7	0	20	0	2	10	0	0	1	11	1	0	0	4	0	0	0	0	0	14	0	16
1388	0	182	74	71	83	300	92	21	58	28	2	125	21	38	0	1	1	0	49	20	6	4	0	4	7	0	0	54	0	10	17	34	4	9	0	0	0	0	4	0	94
19596	3	237	1268	201	95	495	26	71	0	38	14	33	6	51	0	0	0	1	2	85	16	64	0	19	82	0	2	26	0	0	2	33	31	0	0	0	2	3	18	0	72
2972	4638	19	109	366	5	69	4	9	0	6	18	2	639	16	0	0	0	317	1	0	0	63	0	6	128	0	1	2	0	0	2	0	20	156	3	128	252	0	25	66	260
24	9761	200	1	74	46	98	70	84	18	71	1	11	14	60	0	6	0	16	0	20	15	10	0	22	41	0	1	6	0	6	1	0	10	1	7	2	105	19	0	50	475
744	74	911	0	1207	37	21	144	485	1997	201	323	7	10	30	1	1181	11	1	0	168	406	280	18	18	11	1	169	11	1	17	95	0	0	1	63	1	1	3	9	0	521
2083	2	30	95	154	12	19	10	5	11	19	2	8	41	59	0	0	0	0	18	8	3	13	0	2	4	0	0	0	3	0	5	0	33	0	0	0	0	0	21	0	37
5822	2	714	907	530	3002	805	480	347	139	237	7	311	29	89	0	0	0	0	0	89	75	65	1	123	1	0	21	174	0	0	23	0	19	0	0	0	0	2	11	0	106
2670	0	329	692	130	88	742	166	99	140	209	10	151	10	28	0	11	2	0	0	77	79	23	0	13	6	0	16	40	0	23	20	4	36	0	1	0	0	0	8	0	124
105	49	163	0	177	5	18	50	125	92	64	1018	0	7	15	0	7	27	3	0	55	16	20	14	35	5	392	41	2	2	0	4	0	0	0	0	0	0	3	7	0	120
