"N_0"	"N_0.25"	"N_0.5"	"N_1"	"N_2"	"N_4"	"N_8"	"N_Inf"	"NE_0.25"	"NE_0.5"	"NE_1"	"NE_2"	"NE_4"	"NE_8"	"NE_Inf"
23.4125	10.5232140664059	4.71419060068384	1.9140028365708	1.33828830797507	1.22099933651603	1.18667260938703	1.16154911188846	0.449433993746153	0.201533251758085	0.0820268996239706	0.0574127037475705	0.0523983949647784	0.050931508920469	0.0498578046178646
42.74	26.8245848484222	17.0553846559059	8.32750901946471	4.19489200565594	2.90177381178697	2.49988067469412	2.22931439138213	0.628214570458993	0.399805243320491	0.195459914793615	0.0984728940207344	0.0680849099058816	0.058645789754333	0.0522925581867273
41.7675	24.8885636303496	14.6975823950322	6.04962844518489	2.77982948583285	2.05201658669377	1.85249718451628	1.71508702475834	0.595689969160339	0.351759817290511	0.14477758346062	0.066500416727817	0.0490891959318535	0.0443183207017918	0.0410325830948296
8.5775	3.95737585883415	2.53063775344981	1.92988022024598	1.71516401887939	1.56486533514422	1.4777535948464	1.40744856835595	0.463056669565307	0.296881086880309	0.226640303426117	0.201443387420116	0.183795322607097	0.173561248435684	0.165299848131349
37.705	19.6601545301426	9.85246574230836	3.66579952420853	2.04162381028298	1.66404266095914	1.54816334292051	1.46583481952036	0.521544028379352	0.261136545799299	0.0968336258107318	0.0538058903711526	0.043838119484753	0.040786097894494	0.0386182722560821
30.1175	19.4841483008968	13.2947543488272	7.57708009107145	4.17802437527984	2.87518024781537	2.47658857397042	2.21113429910522	0.648207938899925	0.443113293787389	0.253042053828252	0.139553852382509	0.0959704343820339	0.0826365153184663	0.0737587913677859
21.36	10.1748291308185	4.65921625444212	1.76747884268793	1.23243775403083	1.15057081690025	1.12774597809249	1.11092497524281	0.476975075346063	0.218714620938466	0.0830794656271194	0.0579377030902435	0.0540876933517286	0.0530142319207696	0.0522231392122641
35.0875	22.0325907092236	14.8421838732222	9.2022455334682	6.67522527305931	5.52643914986747	4.74186459782587	3.92659115076368	0.628529628720385	0.423624767763032	0.262697360195925	0.190560161586488	0.157762994294799	0.135359660209955	0.112086233337876
36.1375	23.0681697610341	15.8341901301111	9.67154026667928	6.04964500883359	4.26317374962917	3.54601006860627	3.02931229429925	0.639756295717322	0.440196007867246	0.269847085949711	0.169340862917801	0.11945709656811	0.0993352549267443	0.0848090698881683
20.7125	11.1622063692684	6.94576318901719	4.27957899918335	3.06058102515226	2.43481834062994	2.16101976846654	1.96266075535915	0.539349861190171	0.335790442940916	0.20699314124086	0.148099572650693	0.117838378542795	0.104579701906669	0.0949708648938725
31.6975	21.1619168052309	15.4673704505683	10.4635534155106	7.31498942076679	5.62889053161706	4.76457368237757	3.9579892330864	0.666921005696466	0.486838226653288	0.328816563601543	0.229641991091072	0.176542209324019	0.149351976895685	0.124070114170519
13.7075	4.91887789759911	2.03201808223087	1.13345474532413	1.03507888734342	1.02327533093352	1.01991667802315	1.01740508362855	0.360616182461735	0.149741663506311	0.0836545393466499	0.0763548227973293	0.0754756078156069	0.0752254297218638	0.0750383527977184
