".record.id","DietStatus","feature","index"
"SM9","after.diet","N_8",1.76058424685619
"SM90","after.diet","N_8",2.78033677752865
"SM96","before.diet","N_8",1.67402569109171
"SM1","before.diet","N_Inf",1.29393441381244
"SM11","after.diet","N_Inf",1.16540304456911
"SM12","before.diet","N_Inf",1.15304217666512
"SM13","before.diet","N_Inf",2.32813532162513
"SM14","before.diet","N_Inf",2.59319883433484
"SM17","before.diet","N_Inf",1.23000207848575
"SM19","after.diet","N_Inf",2.78479381443299
"SM2","before.diet","N_Inf",1.16238743652412
"SM23","after.diet","N_Inf",1.406953536158
"SM3","after.diet","N_Inf",3.93473850018999
"SM33","before.diet","N_Inf",1.96346691319527
"SM38","after.diet","N_Inf",1.01748281860864
"SM41","before.diet","N_Inf",1.9862947191649
"SM45","after.diet","N_Inf",1.00281881813255
"SM49","before.diet","N_Inf",1.07627280013391
"SM52","before.diet","N_Inf",4.59733074583613
"SM53","after.diet","N_Inf",2.16931803237512
"SM56","after.diet","N_Inf",1.41324722023834
"SM57","before.diet","N_Inf",1.15221869331939
"SM58","after.diet","N_Inf",1.51782547264623
"SM62","before.diet","N_Inf",1.03690576400581
"SM64","after.diet","N_Inf",1.43366993761713
"SM77","after.diet","N_Inf",1.42011669574187
"SM79","after.diet","N_Inf",1.47511770081307
"SM8","before.diet","N_Inf",1.29460423985269
"SM83","before.diet","N_Inf",1.2200628048519
"SM84","before.diet","N_Inf",2.2235705829271
"SM86","after.diet","N_Inf",2.83006440312095
"SM87","before.diet","N_Inf",1.83825812068937
"SM88","after.diet","N_Inf",1.25944497168392
"SM9","after.diet","N_Inf",1.64043504550968
"SM90","after.diet","N_Inf",2.44675370342313
"SM96","before.diet","N_Inf",1.56958701065727
