"feature","visit","Drug.Before.Diet","mean","sd","median","incidence"
"Erysipelotrichales",1,"DrugBefore_YES",0.00930584733802931,0.00891797377727786,0.00844529750479846,0.846153846153846
"Erysipelotrichales",2,"DrugBefore_NO",0.00438765855050841,0.00642649593328206,0.000971817298347911,0.714285714285714
"Erysipelotrichales",2,"DrugBefore_YES",0.00684081288388009,0.00998753306271182,0.00390127970435685,1
"Erysipelotrichales",3,"DrugBefore_NO",0.0338800365582802,0.0366202354237035,0.0273066177089555,1
"Erysipelotrichales",3,"DrugBefore_YES",0.00786659725548597,0.0102408452949331,0.00572575791577368,1
"Erysipelotrichales",4,"DrugBefore_NO",0.0583011119509814,0.0980215538611697,0.00545236924067186,1
"Erysipelotrichales",4,"DrugBefore_YES",0.00619404863071789,0.00442150380136545,0.00453811245288824,1
"Selenomonadales",1,"DrugBefore_NO",0.00388841854926006,0.00640560892391959,0.0010090563419907,0.9
"Selenomonadales",1,"DrugBefore_YES",0.00787603364553962,0.0164842917729707,0.00199185552407932,0.923076923076923
"Selenomonadales",2,"DrugBefore_NO",0.0570032918969945,0.0820208350148779,0.00647848218417399,0.857142857142857
"Selenomonadales",2,"DrugBefore_YES",0.0120051189927053,0.0219970590754511,0.00255986763489799,0.7
"Selenomonadales",3,"DrugBefore_NO",0.0247455139746935,0.0330100191375581,0.0108333746983148,0.833333333333333
"Selenomonadales",3,"DrugBefore_YES",0.00592883182936545,0.00614193363012122,0.00418633538050954,0.75
"Selenomonadales",4,"DrugBefore_NO",0.0103412785163685,0.00971208967458289,0.00905994078288203,1
"Selenomonadales",4,"DrugBefore_YES",0.00503964229912078,0.00677877369626846,0.00022306491188936,0.857142857142857
"Enterobacteriales",1,"DrugBefore_NO",0.0153451614214688,0.045995624358475,0.000128617363344051,0.5
"Enterobacteriales",1,"DrugBefore_YES",0.0195966183728689,0.0657493245308432,0,0.461538461538462
"Enterobacteriales",2,"DrugBefore_NO",0.00228898163536858,0.00521913446304969,0.000412541254125413,0.714285714285714
"Enterobacteriales",2,"DrugBefore_YES",0.0027734801934586,0.00632547660523568,0.000196597667159988,0.6
"Enterobacteriales",3,"DrugBefore_NO",0.0116601100313846,0.0226829056314235,0.00341636316058078,0.833333333333333
"Enterobacteriales",3,"DrugBefore_YES",0.00296142829624792,0.00709453919620271,0.000321043966528916,0.625
"Enterobacteriales",4,"DrugBefore_NO",0.00225746618118823,0.00318289604178559,0.000447854492360121,0.666666666666667
"Enterobacteriales",4,"DrugBefore_YES",0.0287203064843337,0.0346363721208282,0.0175629468448865,0.714285714285714
"Burkholderiales",1,"DrugBefore_NO",0.00813846150175332,0.0116528771412603,0.00257689525071672,1
"Burkholderiales",1,"DrugBefore_YES",0.0097983464987784,0.0169181400554619,0.00180886343081097,0.615384615384615
"Burkholderiales",2,"DrugBefore_NO",0.0118170372312748,0.0157578243681147,0.00615484288953677,0.571428571428571
