"feature","Drug.Before.Diet","mean","sd","median","incidence"
"Unclassified_Ruminococcaceae","DrugBefore_YES",0.00532436070324651,0.00784554295655297,0.00512307360379426,0.7
"Ruminococcus","DrugBefore_NO",-0.0102302922658158,0.0133373894620388,-0.00757094068375107,0.25
"Ruminococcus","DrugBefore_YES",0.00436336060472234,0.0140651935488354,6.9424280378082e-05,0.5
"Unclassified_Firmicutes","DrugBefore_NO",-0.010466947791259,0.0110994092639661,-0.00950557360835004,0.25
"Unclassified_Firmicutes","DrugBefore_YES",0.000386662377299227,0.00388215608154677,0.000586771784480913,0.6
"Dorea","DrugBefore_NO",0.0100189697133615,0.0215111367503937,0.00180660650919324,0.5
"Dorea","DrugBefore_YES",0.000865457525971592,0.00405582703995823,-0.000171910845829188,0.4
"Clostridium_sensu_stricto","DrugBefore_NO",0.00745284410657275,0.0138092231982484,0.000926026270911381,0.5
"Clostridium_sensu_stricto","DrugBefore_YES",0.00180313972124908,0.010226927413851,0,0.4
"Parabacteroides","DrugBefore_NO",-0.0258036388341238,0.0514094278189438,-0.000340721953757866,0.25
"Parabacteroides","DrugBefore_YES",-0.00667194025682367,0.0605305288273065,0,0.4
"Veillonella","DrugBefore_NO",-0.00727936801783482,0.0259765932862479,-0.00110077132916601,0.25
"Veillonella","DrugBefore_YES",-0.00655237153817769,0.0216225384869025,0,0.3
"Streptococcus","DrugBefore_NO",0.00804224300314846,0.0100724636430812,0.00755562890409333,0.5
"Streptococcus","DrugBefore_YES",-0.000777877970046403,0.00353670070282724,-2.5691090318569e-05,0.4
"Alistipes","DrugBefore_NO",0.0499831569705487,0.100258487650632,0.000123984872574773,0.5
"Alistipes","DrugBefore_YES",-0.0123621557699419,0.0572264262934628,0.00219658821162159,0.5
"Gemmiger","DrugBefore_NO",-0.00192235935029119,0.00453583032302317,9.13890209474666e-05,0.5
"Gemmiger","DrugBefore_YES",-0.000923057724242984,0.00251884024870683,0,0.2
"Enterococcus","DrugBefore_NO",0.0180323026998163,0.035488691035602,0.000433116581283601,0.75
"Enterococcus","DrugBefore_YES",-0.0661790451280219,0.209083990095961,0,0.1
"Sutterella","DrugBefore_NO",-0.00486384263324645,0.00688338611157989,-0.00250943545809696,0.25
"Sutterella","DrugBefore_YES",0.00419312256670968,0.0132398378360302,0,0.4
"Turicibacter","DrugBefore_NO",0.00304105429158182,0.00518112072058373,0.000708137904674828,0.5
"Turicibacter","DrugBefore_YES",-0.00349770614575697,0.0106859881664962,0,0.3
"Lactobacillus","DrugBefore_NO",0.00176801771394542,0.00199137260718074,0.00129046050136981,0.75
"Lactobacillus","DrugBefore_YES",-0.00013841575716981,0.000323957916022538,0,0
"Unclassified_Enterobacteriaceae","DrugBefore_NO",0.00266776510498939,0.00484384388776866,0.000378644416667529,0.5
"Unclassified_Enterobacteriaceae","DrugBefore_YES",0.00355883236170962,0.0136890786193231,0,0.2
"Akkermansia","DrugBefore_NO",0.0068661743473359,0.0137323486946718,0,0.25
"Akkermansia","DrugBefore_YES",0.0170755537441539,0.0552611100581014,0,0.2
"Unclassified_Lactobacillales","DrugBefore_NO",0.0363111044434098,0.0725495975113995,5.44721646160723e-05,0.5
"Unclassified_Lactobacillales","DrugBefore_YES",-2.81943025708382e-05,7.17622545475268e-05,0,0
"Megamonas","DrugBefore_NO",2.72360823080362e-05,5.44721646160723e-05,0,0.25
"Megamonas","DrugBefore_YES",0,0,0,0
"Odoribacter","DrugBefore_NO",0.000962690428263533,0.0070055521023564,0,0.25
"Odoribacter","DrugBefore_YES",0.00138957191364611,0.00484800019506987,0,0.1
"Unclassified_Burkholderiales","DrugBefore_NO",0,0,0,0
"Unclassified_Burkholderiales","DrugBefore_YES",-0.00483224662576592,0.0153150423398875,0,0.1
"Parasutterella","DrugBefore_NO",-0.00348488103817663,0.00696976207635327,0,0
"Parasutterella","DrugBefore_YES",0.000166290880472547,0.000525857936408066,0,0.1
