"Bacteroides"	"Prevotella"	"Unclassified_Lachnospiraceae"	"Faecalibacterium"	"Parabacteroides"	"Lachnospiracea_incertae_sedis"	"Alistipes"	"Blautia"	"Roseburia"	"Unclassified_Clostridiales"	"Lactobacillus"	"Clostridium_XI"	"Erysipelotrichaceae_incertae_sedis"	"Enterococcus"	"Unclassified_Ruminococcaceae"	"Sutterella"	"Escherichia_Shigella"	"Megamonas"	"Ruminococcus"	"Clostridium_XlVa"	"Haemophilus"	"Unclassified_Bacteroidales"	"Unclassified_Bacteria"	"Unclassified_Firmicutes"	"Clostridium_XVIII"	"Veillonella"	"Dorea"	"Akkermansia"	"Unclassified_Clostridiaceae_1"	"Clostridium_IV"	"Clostridium_sensu_stricto"	"Streptococcus"	"Turicibacter"	"Klebsiella"	"Bifidobacterium"	"Flavonifractor"	"Barnesiella"	"Gemmiger"	"Phascolarctobacterium"	"Unclassified_Burkholderiales"	"Odoribacter"	"Paraprevotella"	"other"
1519	0	290	33	49	76	21	26	44	88	0	4	8	0	33	0	1	130	1	15	2	2	18	1	13	1	36	0	0	90	0	8	1	0	3	4	0	0	24	27	0	0	37
674	0	1	0	2	0	0	0	1	1	0	0	15	1713	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1116	5304	109	218	243	61	26	60	7	23	0	24	0	0	30	285	1	0	9	17	9	17	30	7	14	2	37	0	5	7	17	5	4	0	3	0	4	21	1	0	6	4	49
1630	0	304	336	1	355	3	37	210	55	20	20	0	0	124	0	0	0	176	27	10	3	30	55	4	33	5	0	1	135	5	5	1	0	0	7	0	0	0	0	0	0	14
2155	0	27	15	54	1	18	9	8	27	0	1	14	0	1	0	0	0	0	5	0	4	4	1	1	0	3	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	33
2247	394	1379	56	61	1251	0	1078	124	151	9	1296	2	6	14	0	0	0	54	44	0	8	19	43	1	3	22	0	0	15	0	54	297	0	0	3	0	15	0	0	0	0	193
405	17	2029	120	1	381	0	455	375	99	0	215	16	9	4	0	0	0	0	43	1068	1	143	22	50	1	4	0	0	1	0	26	0	475	92	3	1	3	0	0	0	0	95
444	0	10	0	1295	0	0	0	0	2	0	113	26	1	1	0	444	0	0	0	1	16	2	0	4	7	0	0	0	0	1	1	0	2	0	0	0	0	1	0	0	0	171
1	0	318	786	0	20	0	64	401	190	1	78	565	0	78	2	0	0	0	42	2	0	2	66	195	11	1	0	134	1	27	1	0	14	0	52	0	0	0	0	0	0	55
19127	2	22	39	5	10	0	0	7	0	0	8	4	68	25	0	0	0	11	2	0	26	4	0	1	0	2	0	0	5	37	1	0	0	1	1	0	2	0	0	0	0	52
6746	6710	187	78	331	52	1295	67	56	51	0	8	16	2	36	211	0	0	27	14	7	83	69	5	7	0	65	0	0	37	1	1	0	0	1	2	3	11	5	0	158	1	130
7468	3	533	52	1	633	236	41	65	70	0	1	1	0	10	900	0	306	50	159	1	6	12	9	15	1	4	4	9	0	6	5	0	0	2	10	96	0	0	0	65	0	37
1564	0	93	100	102	23	47	10	11	22	0	24	21	0	68	16	0	0	4	26	1	9	19	9	35	1	39	544	4	31	60	15	7	0	65	5	0	37	54	0	4	0	35
8291	6	640	485	163	860	21	65	147	76	0	86	4	0	35	113	1	0	248	90	88	6	17	10	2	1	251	0	15	33	25	3	1	0	8	3	0	11	1	3	50	0	156
8842	1	438	519	211	372	472	85	307	76	0	75	6	0	355	524	0	0	75	18	3	97	107	13	56	0	3	0	0	145	1	4	2	0	12	24	0	150	208	0	78	0	140
0	0	0	0	0	0	0	0	0	0	5193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	1
3082	0	21	37	0	4	0	23	7	20	0	1	13	11	4	6	0	0	11	20	0	10	6	2	0	0	0	0	0	2	1	0	0	0	1	14	0	1	0	0	0	0	20
