"feature","age.quant","mean","sd","median","incidence"
"Gemmiger.Otu0907","(8.71,15.3]",-19.2963043000991,19.8602453725782,-19.5987496938852,0
"Gemmiger.Otu0907","(15.3,26.4]",-1.86399657838483,2.80320381606112,-0.554525235072097,0.333333333333333
"Ruminococcus.Otu2545","[3.18,6.27]",-18.5541703054442,21.8719990997003,-18.5541703054442,0
"Ruminococcus.Otu2545","(6.27,8.71]",-9.78566875448682,17.8389378868783,-1.33251946778938,0
"Ruminococcus.Otu2545","(8.71,15.3]",-26.1498398459338,17.471530634529,-34.347471165962,0
"Ruminococcus.Otu2545","(15.3,26.4]",-23.5233940107207,16.3874962454238,-32.8857392071241,0
"Lachnospiraceae.Otu0220","[3.18,6.27]",-37.7120811875673,0.163024750364402,-37.7120811875673,0
"Lachnospiraceae.Otu0220","(6.27,8.71]",-12.1772381511841,19.3295883205057,-4.6907425057235,0.25
"Lachnospiraceae.Otu0220","(8.71,15.3]",-17.7905085867606,21.3743174773229,-18.1918692133323,0.25
"Lachnospiraceae.Otu0220","(15.3,26.4]",-13.3683407651833,18.7630650097509,-2.78310081704652,0.166666666666667
"Blautia.Otu2495","[3.18,6.27]",-35.5043861039951,1.51227434698633,-35.5043861039951,0
"Blautia.Otu2495","(6.27,8.71]",-2.02428484464612,1.64910227413229,-2.19516033823179,0
"Blautia.Otu2495","(8.71,15.3]",-18.7667134985478,19.9266344327406,-18.8755470474391,0
"Blautia.Otu2495","(15.3,26.4]",-1.10217154568872,1.96621201324766,-0.548419972413844,0.5
"Bacteroides.Otu2375","[3.18,6.27]",-1.11529123659896,0.697611677861608,-1.11529123659896,0
"Bacteroides.Otu2375","(6.27,8.71]",10.1492733055515,18.551177890387,1.10994818917134,1
"Bacteroides.Otu2375","(8.71,15.3]",0.751321412026767,1.48352539494056,0.81390190087457,0.5
"Bacteroides.Otu2375","(15.3,26.4]",13.6370290859183,17.3526999688951,3.1819673772407,1
"Ruminococcus.Otu1859","[3.18,6.27]",-3.06471288464839,0.0581244309901249,-3.06471288464839,0
"Ruminococcus.Otu1859","(6.27,8.71]",-10.3810353327706,18.8568311153492,-1.46702486597251,0
"Ruminococcus.Otu1859","(8.71,15.3]",-29.1548857729609,19.5142541771831,-37.6703424494441,0
"Ruminococcus.Otu1859","(15.3,26.4]",-19.5605500288174,18.2858582486372,-19.4451736333798,0
"Roseburia.Otu2637","[3.18,6.27]",-36.8197637767792,1.95828600048487,-36.8197637767792,0
"Roseburia.Otu2637","(6.27,8.71]",-18.1500905283949,20.0793186959193,-18.40450167067,0
"Roseburia.Otu2637","(8.71,15.3]",-17.7572014667312,21.0557091034309,-17.5932397243471,0.5
"Roseburia.Otu2637","(15.3,26.4]",-11.6514613680919,17.5942224087425,-1.83667655866737,0.5
"Lachnospiraceae.Otu2612","[3.18,6.27]",-37.437369331421,1.4174996750382,-37.437369331421,0
"Lachnospiraceae.Otu2612","(6.27,8.71]",-9.70795614037768,33.8258347413923,-18.1562885290576,0.25
"Lachnospiraceae.Otu2612","(8.71,15.3]",-27.5132639941478,19.7499059322056,-36.9562392958264,0.25
"Lachnospiraceae.Otu2612","(15.3,26.4]",-18.2211025882135,19.5788060182258,-19.9047419207101,0.333333333333333
"Bacteroides.Otu1201","[3.18,6.27]",3.92884355475385,0.42841026273619,3.92884355475385,1
"Bacteroides.Otu1201","(6.27,8.71]",0.415548154180421,28.5981887239174,0.891022499461628,0.75
"Bacteroides.Otu1201","(8.71,15.3]",-9.07505501823703,18.8746374798316,-0.351743428825547,0.5
"Bacteroides.Otu1201","(15.3,26.4]",7.61036309993202,28.7367764462294,2.91600428660175,0.833333333333333
"Bacteroides.Otu0001","[3.18,6.27]",1.18061023261752,2.26952238654439,1.18061023261752,0.5
"Bacteroides.Otu0001","(6.27,8.71]",1.45058805969728,1.22322297009687,1.21263212963803,1
"Bacteroides.Otu0001","(8.71,15.3]",-8.78960602995734,19.0219452233952,-1.64058040004704,0.25
"Bacteroides.Otu0001","(15.3,26.4]",7.689225549968,17.1307874011881,0.842498870519245,0.833333333333333
"Ruminococcus.Otu1915","[3.18,6.27]",-35.8197691185298,1.13103149456894,-35.8197691185298,0
"Ruminococcus.Otu1915","(6.27,8.71]",-9.73330184929617,17.4736581427766,-1.54003077546814,0
"Ruminococcus.Otu1915","(8.71,15.3]",-26.2960804341375,17.5510297894404,-34.478988432842,0
"Ruminococcus.Otu1915","(15.3,26.4]",-17.862487817478,17.6047068351956,-18.5272627111857,0
"Blautia.Otu2475","[3.18,6.27]",-2.18245795083838,2.4262508606276,-2.18245795083838,0
"Blautia.Otu2475","(6.27,8.71]",-1.75020183828479,0.957542352162587,-1.51342449293667,0
"Blautia.Otu2475","(8.71,15.3]",-9.47074135944111,18.3338953294493,-0.75745217537415,0.25
"Blautia.Otu2475","(15.3,26.4]",-1.01525706710941,1.85738600455278,-0.466822186875482,0.166666666666667
"Bacteroides.Otu0863","[3.18,6.27]",0.844722749791149,3.34963781860789,0.844722749791149,0.5
"Bacteroides.Otu0863","(6.27,8.71]",-1.23723257769331,31.9026616700859,-2.85549113837501,0.25
"Bacteroides.Otu0863","(8.71,15.3]",2.07894775136503,0.918297886183947,2.19816996822697,1
"Bacteroides.Otu0863","(15.3,26.4]",1.28332850955333,24.9311523530958,2.50779147204412,0.666666666666667
"Lachnospiracea_incertae_sedis.Otu1152","[3.18,6.27]",-36.591928685197,0.494306989747864,-36.591928685197,0
"Lachnospiracea_incertae_sedis.Otu1152","(6.27,8.71]",-11.0215333032994,19.4806171297085,-3.16581940425632,0.25
"Lachnospiracea_incertae_sedis.Otu1152","(8.71,15.3]",-17.5284609029175,20.3653477137169,-17.4083493020903,0.5
"Lachnospiracea_incertae_sedis.Otu1152","(15.3,26.4]",-18.5965878753975,29.0678221568827,-35.5906459236196,0.333333333333333
"Bacteroides.Otu2038","[3.18,6.27]",0.559697693698254,3.26638044780841,0.559697693698254,0.5
"Bacteroides.Otu2038","(6.27,8.71]",1.67987941466957,0.826390669248446,1.40320004818856,1
"Bacteroides.Otu2038","(8.71,15.3]",16.0338722939019,21.9606368157396,15.867026210106,0.5
"Bacteroides.Otu2038","(15.3,26.4]",2.83140008919165,3.20769924780479,2.48394539323022,0.833333333333333
"Lachnospiraceae.Otu0578","[3.18,6.27]",-34.4807338106138,0.762650398382357,-34.4807338106138,0
"Lachnospiraceae.Otu0578","(6.27,8.71]",-10.5742855685212,17.0316299124141,-3.25289175092263,0
