"Bacteroides.Otu0001"	"Bacteroides.Otu2520"	"Bacteroides.Otu0848"	"Faecalibacterium.Otu0067"	"Bacteroides.Otu2038"	"Parabacteroides.Otu1736"	"Prevotella.Otu1987"	"Bacteroides.Otu2654"	"Bacteroides.Otu2065"	"Bacteroides.Otu0863"	"Bacteroides.Otu0929"	"Bacteroides.Otu2431"	"Bacteroides.Otu0786"	"Lactobacillus.Otu1332"	"Bacteroides.Otu1201"	"Bacteroides.Otu2625"	"Bacteroides.Otu2765"	"Bacteroides.Otu0069"	"Clostridium_XI.Otu1804"	"Erysipelotrichaceae_incertae_sedis.Otu0818"	"Enterococcus.Otu1019"	"Bacteroides.Otu0661"	"Bacteroides.Otu2343"	"Bacteroides.Otu0006"	"Lachnospiracea_incertae_sedis.Otu0778"	"Blautia.Otu2475"	"Alistipes.Otu2508"	"Prevotella.Otu1633"	"Alistipes.Otu1466"	"Lachnospiracea_incertae_sedis.Otu0651"	"Faecalibacterium.Otu0751"	"Escherichia_Shigella.Otu2393"	"Bacteroides.Otu2104"	"Roseburia.Otu1051"	"Lachnospiraceae.Otu2222"	"Bacteroides.Otu2437"	"Lachnospiraceae.Otu2512"	"Lachnospiraceae.Otu0898"	"Parabacteroides.Otu1378"	"Haemophilus.Otu1497"	"Bacteroides.Otu0480"	"Bacteroides.Otu2216"	"Megamonas.Otu2657"	"Bacteroides.Otu0877"	"Clostridiales.Otu0562"	"Sutterella.Otu0171"	"Lachnospiraceae.Otu0220"	"Lachnospiracea_incertae_sedis.Otu0113"	"Roseburia.Otu2084"	"Bacteroides.Otu2375"	"Prevotella.Otu2602"	"Akkermansia.Otu1935"	"Bacteroides.Otu2069"	"Prevotella.Otu1803"	"Lachnospiraceae.Otu2599"	"Dorea.Otu1142"	"Clostridium_XlVa.Otu0236"	"Lachnospiraceae.Otu1734"	"Parabacteroides.Otu1107"	"Clostridiaceae_1.Otu1955"	"Veillonella.Otu0362"	"Clostridium_XI.Otu2681"	"Prevotella.Otu1319"	"Bacteroides.Otu2120"	"Bacteroides.Otu1976"	"Bacteroides.Otu2523"	"Turicibacter.Otu0468"	"Klebsiella.Otu1452"	"Prevotella.Otu1994"	"Roseburia.Otu2728"	"Bacteroides.Otu0200"	"Bacteroides.Otu0775"	"Sutterella.Otu1997"	"Lachnospiraceae.Otu0790"	"Prevotella.Otu2501"	"Lachnospiraceae.Otu0033"	"Parabacteroides.Otu1655"	"Lachnospiraceae.Otu0491"	"Bacteroides.Otu2460"	"Bacteroides.Otu2534"	"Lachnospiraceae.Otu2076"	"Bacteroides.Otu2416"	"Lachnospiracea_incertae_sedis.Otu2746"	"Clostridium_XlVa.Otu1856"	"Bacteroidales.Otu0696"	"Bacteroides.Otu1669"	"Prevotella.Otu0738"	"Roseburia.Otu2637"	"Phascolarctobacterium.Otu1814"	"Blautia.Otu0591"	"Bacteroides.Otu0312"	"Gemmiger.Otu0907"	"Blautia.Otu0620"	"Lachnospiracea_incertae_sedis.Otu1990"	"Prevotella.Otu0634"	"Bacteroides.Otu1411"	"Prevotella.Otu2327"	"Clostridiales.Otu1597"	"Barnesiella.Otu2015"	"Bacteroides.Otu2383"	"Bacteroides.Otu0763"	"Bacteroides.Otu0752"	"Prevotella.Otu0773"	"Bacteria.Otu0435"	"Bacteroides.Otu1883"	"Prevotella.Otu0882"	"Bacteroides.Otu1352"	"Burkholderiales.Otu0023"	"Prevotella.Otu2227"	"Bacteroides.Otu0399"	"Parabacteroides.Otu0538"	"Bacteroides.Otu0883"	"other"
0	181	15	0	0	1215	0	0	0	1	2	7	0	0	5	176	16	0	100	26	0	1	0	0	0	0	0	0	0	0	0	444	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	10	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	313
0	0	0	633	0	0	0	0	0	0	0	0	0	1	0	0	0	0	74	565	0	0	0	0	0	59	0	0	0	0	35	0	0	380	0	0	0	23	0	2	0	1	0	0	156	0	21	0	20	0	0	0	0	0	26	1	9	27	0	91	11	2	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	21	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	931
5544	1887	1516	31	1037	0	0	1166	2207	4	430	346	0	0	22	495	256	484	8	4	46	356	2	821	0	0	0	0	0	1	5	0	48	6	0	3	0	4	0	0	12	764	0	57	0	0	0	0	0	257	0	0	0	0	1	2	0	2	0	0	0	0	0	2	213	0	0	0	0	0	0	27	0	0	0	0	0	0	66	0	0	11	0	2	0	62	0	0	0	0	1	1	0	0	0	0	0	0	0	1	66	49	0	0	0	0	15	0	0	7	0	0	1115
2491	142	87	44	257	3	1759	565	0	454	242	68	206	0	225	11	109	302	5	0	1	220	174	298	9	42	631	737	583	2	14	0	75	10	0	1	23	12	175	7	0	0	0	15	0	0	5	10	27	56	189	0	77	181	8	42	8	14	21	0	0	3	3	142	0	55	0	0	0	0	6	3	208	19	428	0	11	2	12	4	3	55	1	0	1	6	1601	10	5	11	0	11	8	2	246	1	12	14	0	54	52	10	2	0	0	134	14	0	13	1	59	0	2614
191	640	15	37	1401	0	1	210	0	0	189	1294	264	0	18	34	8	19	1	1	0	175	290	161	572	26	210	0	18	4	13	0	11	17	17	855	74	9	0	1	0	0	305	101	0	844	5	12	45	71	0	1	112	0	2	2	68	3	0	9	0	0	0	0	0	0	0	0	0	2	1	348	0	2	0	94	0	6	10	0	41	2	0	67	0	33	0	0	0	5	138	0	4	0	0	78	0	0	74	40	17	45	0	0	0	0	6	0	0	1	0	0	1441
136	447	172	47	2	15	0	36	0	57	20	65	8	0	15	6	126	24	22	19	0	21	12	6	0	5	38	0	8	19	9	0	50	0	0	27	0	4	16	1	0	1	0	17	0	13	13	3	3	11	0	534	0	0	1	39	7	0	55	3	1	2	0	5	0	0	7	0	0	8	0	2	0	4	0	0	0	5	2	0	0	7	0	18	0	16	0	0	54	2	1	26	2	0	0	2	0	0	0	2	2	6	0	0	1	0	7	0	0	22	6	26	736
3173	2	1	321	482	28	0	0	818	0	244	105	0	0	0	0	0	216	58	4	0	229	0	394	518	34	1	0	0	5	83	1	0	14	101	1	81	0	48	74	7	297	0	2	0	93	2	29	79	350	0	0	3	0	19	175	45	11	29	12	1	25	0	0	82	347	1	0	0	0	21	1	0	10	0	96	1	2	14	0	34	1	20	11	0	0	0	32	1	5	1	11	13	20	6	11	0	0	0	40	50	14	0	0	917	0	0	0	0	0	10	0	2028
1665	531	2697	433	18	128	0	57	0	61	615	447	136	0	192	5	160	183	64	6	0	433	105	125	68	45	409	0	24	117	37	0	90	14	55	44	53	14	19	3	0	21	0	44	0	480	25	45	153	35	0	0	43	1	16	2	9	11	24	0	0	10	0	62	0	0	2	0	0	26	0	18	0	9	0	2	0	46	0	0	36	29	2	7	0	68	0	93	207	12	0	149	11	2	0	54	0	0	0	4	36	37	0	0	0	0	11	0	0	35	14	18	2457
0	0	0	0	0	0	0	0	0	0	0	0	0	5193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
391	569	359	22	32	0	0	202	324	6	11	25	0	0	6	614	37	54	1	13	11	13	0	24	0	16	0	0	0	4	7	0	0	7	0	0	1	1	0	0	0	115	0	13	0	0	0	0	0	18	0	0	0	0	2	0	14	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	6	1	0	0	0	2	47	0	0	0	0	5	0	13	0	0	0	3	0	1	2	0	0	0	0	0	0	0	12	8	0	0	0	0	1	0	0	2	0	0	263
