"feature","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","i.baseMean","baseVar","allZero","dispGeneEst","dispGeneIter","dispFit","dispersion","dispIter","dispOutlier","dispMAP","Intercept","Drug.Before.Diet_DrugBefore_YES_vs_DrugBefore_NO","DietStatus_before.diet_vs_after.diet","SE_Intercept","SE_Drug.Before.Diet_DrugBefore_YES_vs_DrugBefore_NO","SE_DietStatus_before.diet_vs_after.diet","WaldStatistic_Intercept","WaldStatistic_Drug.Before.Diet_DrugBefore_YES_vs_DrugBefore_NO","WaldStatistic_DietStatus_before.diet_vs_after.diet","WaldPvalue_Intercept","WaldPvalue_Drug.Before.Diet_DrugBefore_YES_vs_DrugBefore_NO","WaldPvalue_DietStatus_before.diet_vs_after.diet","betaConv","betaIter","deviance","maxCooks","replace"
"Odoribacter",4.26441387485434,-1.19175683659734,2.38195889290751,-0.500326365894012,0.616845291974859,0.820782622007699,4.26441387485434,192.042415920584,FALSE,25.8495957794104,9,7.87861011080491,21.6919475344598,6,FALSE,21.6919475344598,3.87640123409482,-3.28487031736575,-1.19175683659734,2.27954536404198,2.45972170379858,2.38195889290751,1.70051506552226,-1.33546421625376,-0.500326365894012,0.0890340850505486,0.18172445945847,0.616845291974859,TRUE,20,81.4452047446312,4.30361430678589,TRUE
"Gemmiger",11.0609086473204,-0.521596796141345,1.10988442076648,-0.469955957919593,0.638386483783766,0.820782622007699,11.0609086473204,424.646410357212,FALSE,4.63782905203874,13,6.57352120550068,4.71926548121636,9,FALSE,4.71926548121636,3.40152221172308,0.483776510124839,-0.521596796141345,1.07073245253798,1.15100008627248,1.10988442076648,3.17681807781243,0.420309707961491,-0.469955957919593,0.00148900407125727,0.674259218898952,0.638386483783766,TRUE,13,197.361489379429,3.51174425728805,FALSE
"Sutterella",45.9721078067057,-0.707410063325578,1.75433975506524,-0.40323435713242,NA,NA,45.9721078067057,11868.9445954549,FALSE,13.0083791863347,8,3.74902327342407,12.1425809661143,10,FALSE,12.1425809661143,5.21711623248783,0.987335949347644,-0.707410063325578,1.69745254091397,1.8225018143104,1.75433975506524,3.07349755397506,0.541747581042179,-0.40323435713242,0.00211565422105992,0.587992406728348,0.686775826953843,TRUE,100,187.184697922112,5.22715351788587,TRUE
"Veillonella",13.5322456229691,-0.457098521552237,1.21290479816377,-0.376862654220055,NA,NA,13.5322456229691,3711.42944204751,FALSE,5.29723084273004,10,6.3210325504618,5.3467338523297,10,FALSE,5.3467338523297,5.15804379388199,-3.93569110070501,-0.457098521552237,1.14066065182574,1.24102758306706,1.21290479816377,4.52197924564682,-3.17131637878538,-0.376862654220055,6.12640678151118e-06,0.00151749771240993,0.70627567622688,TRUE,29,151.825184361957,11.499660582211,TRUE
"Alistipes",111.118278891044,0.527832853426204,1.48746894005111,0.354853025306241,0.722699701539438,0.886949633707492,111.118278891044,40724.6376753297,FALSE,9.21875757310746,11,2.93340759836052,8.7411732079412,11,FALSE,8.7411732079412,6.1561048667375,0.516377180186368,0.527832853426204,1.43946399767887,1.54522461966537,1.48746894005111,4.27666470065537,0.334176127932904,0.354853025306241,1.89714212390906e-05,0.738246656690027,0.722699701539438,TRUE,100,269.730457955166,3.99057895292808,TRUE
"Enterococcus",39.7641702506277,-0.568108586976636,2.00700858008256,-0.283062360876039,NA,NA,39.7641702506277,31523.287254289,FALSE,17.351367148618,7,4.04285819608408,15.8219823122135,10,FALSE,15.8219823122135,6.96575301471778,-3.03095703174283,-0.568108586976636,1.93726087940509,2.0820777531668,2.00700858008256,3.59567112967092,-1.455736716428,-0.283062360876039,0.000323556346473511,0.14546541582663,0.777129033763232,TRUE,100,128.9688556938,113.997609314526,TRUE
"Clostridium_XI",56.7634650640143,0.278863844583918,1.00661000035727,0.27703265861152,0.781755029217856,0.91771242560357,56.7634650640143,16189.2356465034,FALSE,4.0030462109972,8,3.3474108956325,3.9786481302926,7,FALSE,3.9786481302926,5.71672382411631,-0.0577201449053343,0.278863844583918,0.973257187694967,1.04502138809232,1.00661000035727,5.87380591316836,-0.0552334579588864,0.27703265861152,4.25901981443552e-09,0.955952474013326,0.781755029217856,TRUE,20,291.05603320118,1.76208033306765,FALSE
"Unclassified_Lactobacillales",11.3080714690113,-0.442300897399063,2.2863206290341,-0.193455323711933,NA,NA,11.3080714690113,3559.77585971127,FALSE,23.5681969348469,9,6.55008721821265,19.4523329636695,5,FALSE,19.4523329636695,5.36518129780113,-8.59849273016122,-0.442300897399063,2.16468696406308,2.34691002306462,2.2863206290341,2.47850215152161,-3.66375048282985,-0.193455323711933,0.0131935315404592,0.00024854892017602,0.846602391591813,TRUE,100,70.3191568572078,72.7843326922959,TRUE
"Streptococcus",5.2198040805778,0.158921818028842,0.923903084655775,0.172011351264242,0.863428604993712,0.948320347852268,5.2198040805778,99.5958063504577,FALSE,2.92280235104277,11,7.41144784779386,3.06639184336498,11,FALSE,3.06639184336498,2.80050841537854,-0.775540667459631,0.158921818028842,0.879636780421847,0.949736240393538,0.923903084655775,3.18371000134339,-0.816585315453766,0.172011351264242,0.00145400601562661,0.414165449729181,0.863428604993712,TRUE,26,173.481316661718,0.0517982982663937,FALSE
"Turicibacter",2.11015186654051,0.275806422092169,2.00836890295833,0.1373285663236,NA,NA,2.11015186654051,42.3388428102849,FALSE,16.1735249224653,9,10.1381244019185,15.3286884124327,9,FALSE,15.3286884124327,1.05118761903823,-0.0755831537348739,0.275806422092169,1.93973990380303,2.0814263159663,2.00836890295833,0.541921943749928,-0.0363131537038267,0.1373285663236,0.587872279207956,0.971032661718789,0.890771091678282,TRUE,35,84.7963902766561,9.6887346636183,TRUE
"Parasutterella",5.66578306546398,-0.299770493809037,2.90156624594267,-0.103313337832011,0.917714290206206,0.948320347852268,5.66578306546398,235.14780542937,FALSE,33,9,7.25890001974795,33,5,FALSE,33,2.84117025992846,-0.289881980404328,-0.299770493809037,2.80313592071084,3.01133567724043,2.90156624594267,1.01356849624615,-0.0962635891426007,-0.103313337832011,0.310788696565246,0.923311228403647,0.917714290206206,TRUE,29,84.3790567484547,0.542078056579159,FALSE
"Bacteroides",6544.42004719352,0.0694742397443976,0.761548146169247,0.0912276395049585,0.927311713370581,0.948320347852268,6544.42004719352,155048814.431269,FALSE,2.294825617937,11,2.30142573594917,2.29514990163408,5,FALSE,2.29514990163408,11.0937318847674,2.01201272836991,0.0694742397443976,0.73700028735534,0.791200931347983,0.761548146169247,15.0525475703358,2.54298579368708,0.0912276395049585,3.32191412821355e-51,0.010990969770421,0.927311713370581,TRUE,11,616.878206721579,1.26515623047772,FALSE
"Clostridium_IV",16.6917341039479,0.0639300117448457,0.986327769232021,0.0648161937026503,0.948320347852268,0.948320347852268,16.6917341039479,1350.58787152724,FALSE,3.64042643842629,9,5.96842960658911,3.72042533464914,9,FALSE,3.72042533464914,2.33588748505475,2.17175392652342,0.0639300117448457,0.963076938334959,1.02837475013143,0.986327769232021,2.42544223838774,2.11183124269227,0.0648161937026503,0.0152897486332873,0.03470092651807,0.948320347852268,TRUE,12,217.271750960703,0.82882772717946,FALSE
