".record.id","Sample.type","feature","Abundance"
"SB18","patient","Selenomonadales",6.19924369226954e-05
"SB19","control","Selenomonadales",0.183899947155188
"SB21","control","Selenomonadales",0.000899766060824186
"SB22","patient","Selenomonadales",0.0598848368522073
"SB23","patient","Selenomonadales",0.00107584722969338
"SB24","control","Selenomonadales",0.00057372346528973
"SB25","control","Selenomonadales",0.0245098039215686
"SB26","control","Selenomonadales",0.0005372011818426
"SB28","patient","Selenomonadales",0.0035405192761605
"SB29","patient","Selenomonadales",0.000719942404607631
"SB3","control","Selenomonadales",0.00103626943005181
"SB30","patient","Selenomonadales",0.000504744599232788
"SB31","control","Selenomonadales",0.00153846153846154
"SB32","control","Selenomonadales",0.00170305000774114
"SB33","control","Selenomonadales",0.0113127368783737
"SB34","patient","Selenomonadales",0.00242445233353537
"SB35","patient","Selenomonadales",0
"SB36","patient","Selenomonadales",0.000380517503805175
"SB38","patient","Selenomonadales",0.000303526983548838
"SB39","patient","Selenomonadales",0.0177133655394525
"SB4","patient","Selenomonadales",0.000301477238468496
"SB40","control","Selenomonadales",0.0121385219564441
"SB41","patient","Selenomonadales",0.00199185552407932
"SB42","patient","Selenomonadales",0.0023550862265441
"SB43","patient","Selenomonadales",0.0117452921762765
"SB44","patient","Selenomonadales",0.00219659527732015
"SB45","control","Selenomonadales",0.00414242904988542
"SB5","patient","Selenomonadales",0.0174310927116244
"SB6","patient","Selenomonadales",0.000370782350760104
"SB7","control","Selenomonadales",7.07664001132262e-05
"SB8","patient","Selenomonadales",0.00151336808474861
"SB9","patient","Selenomonadales",0
"SB1","control","Unclassified_Bacteria",0.0136394635144351
"SB10","control","Unclassified_Bacteria",0.00919696840671038
"SB11","patient","Unclassified_Bacteria",0.00803571428571428
"SB12","control","Unclassified_Bacteria",0.0305157980016203
"SB13","control","Unclassified_Bacteria",0.0118838028169014
"SB14","control","Unclassified_Bacteria",0.00283651366683858
"SB15","control","Unclassified_Bacteria",0.0168918918918919
"SB16","patient","Unclassified_Bacteria",0.0148944973107158
"SB17","patient","Unclassified_Bacteria",0.00385852090032154
"SB18","patient","Unclassified_Bacteria",0.00365755377843903
"SB19","control","Unclassified_Bacteria",0.0155011449709354
"SB21","control","Unclassified_Bacteria",0.0421090516465719
"SB22","patient","Unclassified_Bacteria",0.00690978886756238
"SB23","patient","Unclassified_Bacteria",0.00228617536309844
"SB24","control","Unclassified_Bacteria",0.0174985656913368
"SB25","control","Unclassified_Bacteria",0.00490196078431373
"SB26","control","Unclassified_Bacteria",0.0163846360461993
"SB28","patient","Unclassified_Bacteria",0.000786782061369001
"SB29","patient","Unclassified_Bacteria",0.00251979841612671
"SB3","control","Unclassified_Bacteria",0.0397927461139896
"SB30","patient","Unclassified_Bacteria",0.00232182515647083
"SB31","control","Unclassified_Bacteria",0.00373626373626374
"SB32","control","Unclassified_Bacteria",0.00696702275894101
"SB33","control","Unclassified_Bacteria",0.00212472723096359
"SB34","patient","Unclassified_Bacteria",0.00086587583340549
"SB35","patient","Unclassified_Bacteria",0
"SB36","patient","Unclassified_Bacteria",0.0015220700152207
"SB38","patient","Unclassified_Bacteria",0.00418867237297396
"SB39","patient","Unclassified_Bacteria",0.00611916264090177
"SB4","patient","Unclassified_Bacteria",0.00180886343081097
"SB40","control","Unclassified_Bacteria",0.0135665833630846
"SB41","patient","Unclassified_Bacteria",0.00225743626062323
"SB42","patient","Unclassified_Bacteria",0.0904049228899187
"SB43","patient","Unclassified_Bacteria",0.0015530964861192
"SB44","patient","Unclassified_Bacteria",0.00796265788028556
"SB45","control","Unclassified_Bacteria",0.00528820729772607
"SB5","patient","Unclassified_Bacteria",0.00326832988342957
"SB6","patient","Unclassified_Bacteria",0.0218761586948461
"SB7","control","Unclassified_Bacteria",0.00629820961007714
"SB8","patient","Unclassified_Bacteria",0.00470825626366235
"SB9","patient","Unclassified_Bacteria",0.00567966679288148
"SB1","control","Burkholderiales",0.116390088656513
"SB10","control","Burkholderiales",0.0337222174912714
"SB11","patient","Burkholderiales",0.00401785714285714
"SB12","control","Burkholderiales",0
"SB13","control","Burkholderiales",0
"SB14","control","Burkholderiales",0.00219185146982981
"SB15","control","Burkholderiales",0.00330943188086045
"SB16","patient","Burkholderiales",0.00744724865535788
"SB17","patient","Burkholderiales",0.0369131832797428
"SB18","patient","Burkholderiales",0.000867894116917736
"SB19","control","Burkholderiales",0.0017614937466972
"SB21","control","Burkholderiales",0.00233939175814288
"SB22","patient","Burkholderiales",0.0103646833013436
"SB23","patient","Burkholderiales",0
"SB24","control","Burkholderiales",0.00129087779690189
"SB25","control","Burkholderiales",0.000852514919011083
"SB26","control","Burkholderiales",0.0016116035455278
"SB28","patient","Burkholderiales",0
"SB29","patient","Burkholderiales",0
"SB3","control","Burkholderiales",0.00518134715025907
"SB30","patient","Burkholderiales",0.000151423379769836
"SB31","control","Burkholderiales",0.00608058608058608
"SB32","control","Burkholderiales",0.0257005728440935
"SB33","control","Burkholderiales",0.00178017686918571
"SB34","patient","Burkholderiales",0.0138540133344878
"SB35","patient","Burkholderiales",0
"SB36","patient","Burkholderiales",0.0578386605783866
"SB38","patient","Burkholderiales",0.0133551872761488
"SB39","patient","Burkholderiales",0.00515297906602254
"SB4","patient","Burkholderiales",0.00180886343081097
"SB40","control","Burkholderiales",0.00214209210996073
"SB41","patient","Burkholderiales",4.42634560906516e-05
"SB42","patient","Burkholderiales",0.0164096330623718
"SB43","patient","Burkholderiales",0.0308677926616191
"SB44","patient","Burkholderiales",0
"SB45","control","Burkholderiales",0.0099594570773841
"SB5","patient","Burkholderiales",0.000108944329447652
"SB6","patient","Burkholderiales",0.00741564701520208
"SB7","control","Burkholderiales",0
"SB8","patient","Burkholderiales",0.00100891205649908
"SB9","patient","Burkholderiales",0.0011359333585763
"SB1","control","Bifidobacteriales",0.000681973175721755
"SB10","control","Bifidobacteriales",0.00127735672315422
"SB11","patient","Bifidobacteriales",0
"SB12","control","Bifidobacteriales",0.190116122063192
"SB13","control","Bifidobacteriales",0.00704225352112676
"SB14","control","Bifidobacteriales",0.00219185146982981
"SB15","control","Bifidobacteriales",0.0015857694429123
"SB16","patient","Bifidobacteriales",0.000413736036408771
"SB17","patient","Bifidobacteriales",0.000385852090032154
"SB18","patient","Bifidobacteriales",0
"SB19","control","Bifidobacteriales",0.0343491280605954
"SB21","control","Bifidobacteriales",0.00791794133525283
"SB22","patient","Bifidobacteriales",0.00115163147792706
"SB23","patient","Bifidobacteriales",0.000268961807423346
"SB24","control","Bifidobacteriales",0.00372920252438325
"SB25","control","Bifidobacteriales",0.000213128729752771
"SB26","control","Bifidobacteriales",0.005372011818426
"SB28","patient","Bifidobacteriales",0
"SB29","patient","Bifidobacteriales",0.00143988480921526
"SB3","control","Bifidobacteriales",0.00953367875647668
"SB30","patient","Bifidobacteriales",5.04744599232788e-05
"SB31","control","Bifidobacteriales",0.00593406593406593
"SB32","control","Bifidobacteriales",0
"SB33","control","Bifidobacteriales",0.000803950844148386
"SB34","patient","Bifidobacteriales",0.000606113083383843
"SB35","patient","Bifidobacteriales",0
"SB36","patient","Bifidobacteriales",0
"SB38","patient","Bifidobacteriales",6.07053967097675e-05
"SB39","patient","Bifidobacteriales",0.0209339774557166
"SB4","patient","Bifidobacteriales",0.000301477238468496
"SB40","control","Bifidobacteriales",0.000357015351660121
"SB41","patient","Bifidobacteriales",0
"SB42","patient","Bifidobacteriales",0.00326673250778698
"SB43","patient","Bifidobacteriales",0
"SB44","patient","Bifidobacteriales",0.000549148819330038
"SB45","control","Bifidobacteriales",0
"SB5","patient","Bifidobacteriales",0.00119838762392417
"SB6","patient","Bifidobacteriales",0
"SB7","control","Bifidobacteriales",0
"SB8","patient","Bifidobacteriales",0.000336304018833025
"SB9","patient","Bifidobacteriales",0.0102234002271867
"SB1","control","Verrucomicrobiales",0
"SB10","control","Verrucomicrobiales",0
"SB11","patient","Verrucomicrobiales",0.0303571428571429
"SB12","control","Verrucomicrobiales",0
"SB13","control","Verrucomicrobiales",0.00880281690140845
"SB14","control","Verrucomicrobiales",0.00038679731820526
"SB15","control","Verrucomicrobiales",0
"SB16","patient","Verrucomicrobiales",0
"SB17","patient","Verrucomicrobiales",0
"SB18","patient","Verrucomicrobiales",0
"SB19","control","Verrucomicrobiales",0
"SB21","control","Verrucomicrobiales",0.00539859636494511
"SB22","patient","Verrucomicrobiales",0
"SB23","patient","Verrucomicrobiales",0
"SB24","control","Verrucomicrobiales",0.00731497418244406
"SB25","control","Verrucomicrobiales",0.0223785166240409
"SB26","control","Verrucomicrobiales",0.0002686005909213
"SB28","patient","Verrucomicrobiales",0
"SB29","patient","Verrucomicrobiales",0
"SB3","control","Verrucomicrobiales",0
"SB30","patient","Verrucomicrobiales",0.0279123763375732
"SB31","control","Verrucomicrobiales",0
"SB32","control","Verrucomicrobiales",0
"SB33","control","Verrucomicrobiales",0
"SB34","patient","Verrucomicrobiales",0
"SB35","patient","Verrucomicrobiales",0.000802890405459655
"SB36","patient","Verrucomicrobiales",0
"SB38","patient","Verrucomicrobiales",0
