"name","statistic","pval","pval.adjusted","common.lang.eff.size","rank.biserial.corr.eff.size","r.eff.size","l2fc.after.diet.by.before.diet","mean.before.diet","mean.after.diet","l2fc.paired.median","median.paired.after.diet","median.paired.before.diet"
"Gemmiger",19,0.431640625,0.911241319444444,0.428571428571429,-0.142857142857143,0.248677497205275,0.747892511586678,0.00171439041105291,0.00287904072696838,0,0.000388887611299659,0.000529383033618375
"Enterococcus",19,0.9453125,1,0.5,0,0.0242517722676958,3.18655831576013,0.00457737565237275,0.0416740963230439,0,0,0
"Sutterella",21,0.7421875,0.932672316028226,0.571428571428571,0.142857142857143,0.116304185376532,0.355770347082552,0.00593630046048448,0.00759649786802734,0,0,7.66038926541711e-05
"Turicibacter",21,0.7421875,0.932672316028226,0.571428571428571,0.142857142857143,0.116304185376532,1.40546591025035,0.000898690801072552,0.00238066174434224,0,0,0
"Lactobacillus",14,0.5625,0.914532001201923,0.5,0,0.236429715193471,6.86523468288116,0.000472579974245329,0.0550955954519853,0,0,0
"Unclassified_Enterobacteriaceae",17,0.6875,0.932672316028226,0.535714285714286,0.0714285714285714,0.152036233957253,-1.34142089435433,0.00432901504361913,0.00170836698152947,0,0,0
"Akkermansia",8,0.375,0.911241319444444,0.571428571428571,0.142857142857143,0.443573279509438,-4.92393654703887,0.0125884402299233,0.000414685953384321,0,0,0
"Unclassified_Lactobacillales",6,0.875,1,0.5,0,0.0786553423050853,-5.17406882429565,0.00870575862586118,0.000241133031497575,0,0,0
"Megamonas",1,1,1,0.535714285714286,0.0714285714285714,0,10.9797962867003,6.40848995483204e-06,0.0129420697624493,0,0,0
"Odoribacter",7,0.625,0.914532001201923,0.5,0,0.244388205557335,-0.979681786585127,0.00199700797715534,0.00101266592263284,0,0,0
"Unclassified_Burkholderiales",1,1,1,0.5,0,0,1.313819080301,0.00140454027657836,0.00349166966285537,0,0,0
"Parasutterella",1,1,1,0.5,0,0,0.373857088605005,0.00130217901503797,0.00168737997208735,0,0,0
