"feature","mean","sd","median","incidence"
"Roseburia.Otu1051",-0.000196393099054279,0.00566090378742426,-0.000609192793085858,0.25
"Bacteroides.Otu0069",0.00937185605084672,0.0195802588199763,0.00214425841041619,0.6875
"Bacteroides.Otu2460",0.00211749571348177,0.00481236642408612,0.000538958942978737,0.6875
"Bacteroides.Otu2654",0.0402625164942017,0.0999049442022122,0.00117797117038967,0.5625
"Bacteroides.Otu2765",0.00850255542352854,0.0180650513076516,0.00210096665401974,0.5625
"Bacteroides.Otu2104",0.00368253644687415,0.00960142277154035,0.000969873794508072,0.625
"Oscillibacter.Otu1518",-0.00250335015060712,0.0045511564614473,-0.000312440248062498,0.0625
"Erysipelotrichaceae_incertae_sedis.Otu0818",0.0262492209798097,0.0936368657973522,0.000482554246475469,0.5625
"Lachnospiracea_incertae_sedis.Otu0651",-0.00194320148069397,0.00563838917933863,-0.000258999040734035,0.1875
"Faecalibacterium.Otu0751",-0.00119256114991199,0.00920580575937348,-0.000440369300793693,0.375
"Ruminococcus.Otu1429",-0.0019736507575626,0.00436352140294373,-0.000583918657313096,0.125
"Dorea.Otu1142",-0.00147732609915741,0.00725572492908733,-0.00187285055722242,0.3125
"Faecalibacterium.Otu0067",-0.00480256454905436,0.0255959165655962,-0.0034054040381675,0.375
"Clostridium_IV.Otu1864",-0.00299111935699311,0.00877644350635327,-0.000297715578100005,0.1875
"Bacteroides.Otu2437",-0.00807726337116641,0.0268569725225284,-0.000115838630384959,0.3125
"Bacteroides.Otu0877",0.00258054876728977,0.0118218682662223,0.00102606654414609,0.5625
"Parabacteroides.Otu1378",0.00351536814318449,0.00958673849431492,-8.80746868793876e-05,0.4375
"Ruminococcaceae.Otu2507",-0.00244112713886677,0.00812356771560625,-0.00010853461361293,0.1875
"Clostridium_XI.Otu2681",0.00600541537565915,0.0255699324115777,-0.00016809316178558,0.25
"Clostridium_XI.Otu1804",0.00552228671182919,0.0317664127561953,-0.00280953079921243,0.3125
"Bacteroides.Otu1669",-0.000378473430912875,0.00218446953781496,-0.00026856564041012,0.3125
"Bacteroides.Otu1411",-0.000708741407402019,0.0026127852207959,-0.000138459689626551,0.3125
"Bacteroides.Otu0929",0.00578145640197071,0.0185523551930498,0.000355716155525713,0.5
"Bacteroides.Otu2431",-0.00553421101796818,0.021866797724532,-6.65871437662627e-05,0.4375
"Parabacteroides.Otu1736",-0.00133233853155909,0.00503394061991996,-0.000113662194974684,0.375
"Clostridiales.Otu1597",-0.0060854350149207,0.0141052842939092,0,0
"Bacteroides.Otu2120",0.00114573805344963,0.00310808350573254,5.50500298405124e-05,0.5
"Lachnospiraceae.Otu2599",0.00195099416985726,0.005614183084812,-0.000230779088392484,0.375
"Bacteroides.Otu2520",-0.000395752607464659,0.0957733124795527,-0.00475474774442845,0.375
"Bacteroides.Otu0752",0.000180903198616878,0.00204197538942117,0.000402364693551855,0.625
"Clostridium_XlVa.Otu0236",-0.00277249551822673,0.0129044448731096,-0.000150388332940266,0.5
