"feature","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","i.baseMean","baseVar","allZero","dispGeneEst","dispGeneIter","dispFit","dispersion","dispIter","dispOutlier","dispMAP","Intercept","Sample.type_patient_vs_control","SE_Intercept","SE_Sample.type_patient_vs_control","WaldStatistic_Intercept","WaldStatistic_Sample.type_patient_vs_control","WaldPvalue_Intercept","WaldPvalue_Sample.type_patient_vs_control","betaConv","betaIter","deviance","maxCooks","replace"
"Megamonas",2.88115066807543,-4.38446265908529,2.93926872092729,-1.49168486292811,0.135781779189709,0.457712563686767,2.88115066807543,337.915470193258,FALSE,41,20,47.6142757218715,41,8,FALSE,41,2.709830575676,-4.38446265908529,2.18028144901766,2.93926872092729,1.24288108624551,-1.49168486292811,0.21391165636714,0.135781779189709,TRUE,22,33.9942225252247,NA,TRUE
"Enterococcus",2.23723538001364,2.43861960350162,1.68014789357634,1.45143151553808,0.146659739327264,0.457712563686767,2.23723538001364,67.3774802932994,FALSE,10.5958763636772,8,51.724760212556,12.7956380539362,8,FALSE,12.7956380539362,-0.758343641290981,2.43861960350162,1.26849465483694,1.68014789357634,-0.597829591476256,1.45143151553808,0.549953643636554,0.146659739327264,TRUE,8,98.2949135269316,NA,TRUE
"Clostridium_IV",48.3998880587756,-0.918982606492612,0.654617985664673,-1.4038456422176,0.160364819252419,0.457712563686767,48.3998880587756,4252.57851950256,FALSE,2.00645527830229,12,3.3889290930076,2.04472723701502,11,FALSE,2.04472723701502,6.03570243685729,-0.918982606492612,0.487557429291704,0.654617985664673,12.3794697285725,-1.4038456422176,3.37565718883667e-35,0.160364819252419,TRUE,7,386.330371096922,NA,FALSE
"Unclassified_Firmicutes",18.4857940884972,-0.53968045011973,0.3889227975773,-1.38762873629815,0.165250126397596,0.457712563686767,18.4857940884972,248.274252835698,FALSE,0.606750336932904,8,3.13016956103868,0.661522408487433,9,FALSE,0.661522408487433,4.50647752708159,-0.53968045011973,0.283062003702964,0.3889227975773,15.9204607758325,-1.38762873629815,4.56998977092175e-57,0.165250126397596,TRUE,5,319.607095414362,NA,FALSE
"Unclassified_Lachnospiraceae",212.729541931254,-0.481060825823145,0.359598209028958,-1.33777314164656,0.180970399735567,0.457712563686767,212.729541931254,18996.5968209625,FALSE,0.594180987061008,11,1.74525853782613,0.620323431931718,11,FALSE,0.620323431931718,7.98755514813591,-0.481060825823145,0.268438548903853,0.359598209028958,29.7556188585896,-1.33777314164656,1.46689160922674e-194,0.180970399735567,TRUE,4,514.982366858676,NA,FALSE
"Clostridium_XlVa",39.9649533534712,0.63075535761448,0.488295802413959,1.2917484739706,0.196444264515331,0.457712563686767,39.9649533534712,2112.94999470216,FALSE,1.06428138336144,12,4.3254883799606,1.1233775696701,11,FALSE,1.1233775696701,4.94269562323963,0.63075535761448,0.364152822699137,0.488295802413959,13.5731355495308,1.2917484739706,5.77957112012479e-42,0.196444264515331,TRUE,5,384.588949261391,NA,FALSE
"Unclassified_Ruminococcaceae",105.289046248812,-0.630239340552944,0.516366186863361,-1.22052790555729,0.222264817561811,0.457712563686767,105.289046248812,15181.6270223087,FALSE,1.27694250512999,10,1.33644405245524,1.27889077444913,10,FALSE,1.27889077444913,7.04000464037806,-0.630239340552944,0.385379234597596,0.516366186863361,18.2677321670667,-1.22052790555729,1.49537280249882e-74,0.222264817561811,TRUE,5,461.654030882375,NA,FALSE
"Unclassified_Enterobacteriaceae",1.36045566550436,2.07285528399331,1.72643031259818,1.20065969003625,0.229883236633548,0.457712563686767,1.36045566550436,34.6626337044146,FALSE,10.5473466173917,10,63.4219332889232,13.4305682774478,11,FALSE,13.4305682774478,-0.913031721909713,2.07285528399331,1.30061162654291,1.72643031259818,-0.702001814589802,1.20065969003625,0.48267803181041,0.229883236633548,TRUE,13,94.2216208700781,NA,TRUE
"Lactobacillus",1.10708536271903,2.36592299137674,1.97250065793243,1.19945358794288,0.23035162122445,0.457712563686767,1.10708536271903,13.1501308581341,FALSE,13.3563590786144,9,69.3463119787164,17.664100561335,9,FALSE,17.664100561335,-1.42778010524897,2.36592299137674,1.48649176976823,1.97250065793243,-0.960503202430506,1.19945358794288,0.336802020017141,0.23035162122445,TRUE,8,85.5978495020395,NA,TRUE
"Blautia",91.7086535167968,0.56574991837896,0.48099664202763,1.17620346785386,0.23951357906482,0.457712563686767,91.7086535167968,23538.6631050875,FALSE,1.09757993806283,13,1.41966290912796,1.10765490876834,11,FALSE,1.10765490876834,6.18266925961637,0.56574991837896,0.359488481509214,0.48099664202763,17.1985183882947,1.17620346785386,2.72408199774986e-66,0.23951357906482,TRUE,6,451.942978605381,NA,FALSE
"Catenibacterium",1.41505649365583,-3.45430799921611,2.94174051047872,-1.17423953163496,0.240299095935553,0.457712563686767,1.41505649365583,82.0977800897392,FALSE,41,2,62.3083406274906,41,5,FALSE,41,1.68372463628022,-3.45430799921611,2.18332069642312,2.94174051047872,0.771176052624166,-1.17423953163496,0.440602586540337,0.240299095935553,TRUE,7,23.1727120176462,NA,TRUE
"Gemmiger",19.2335740839619,-0.853033078988202,0.780169960954003,-1.09339390348367,0.274220889134877,0.498583434790686,19.2335740839619,649.950350607546,FALSE,2.86715046290396,8,2.94077227345581,2.8708424362474,6,FALSE,2.8708424362474,4.69440839095848,-0.853033078988202,0.57895687526674,0.780169960954003,8.10839043719042,-1.09339390348367,5.12946866802502e-16,0.274220889134877,TRUE,11,305.844027960826,NA,FALSE
"Escherichia_Shigella",4.10594051551939,1.09646297423295,1.15392122067261,0.950206092573492,0.342007543498898,0.59479572782417,4.10594051551939,217.982463252337,FALSE,5.33885662255878,11,37.326051068956,6.12600305041531,11,FALSE,6.12600305041531,1.31986491286043,1.09646297423295,0.861061981798015,1.15392122067261,1.53283380379235,0.950206092573492,0.125316809365157,0.342007543498898,TRUE,8,167.636298460041,NA,TRUE
"Sutterella",18.9856006085771,0.982445866160857,1.09933731910945,0.893670986223515,0.37149795335487,0.599356116189638,18.9856006085771,2640.07474623232,FALSE,5.98929162838254,8,2.99948941201611,5.78974046802349,7,FALSE,5.78974046802349,3.62596327179421,0.982445866160857,0.822344800912192,1.09933731910945,4.40929798275867,0.893670986223515,1.03706247763634e-05,0.37149795335487,TRUE,26,249.802055037459,NA,TRUE
"Dorea",30.4944958420614,-0.535901026070727,0.603563940990709,-0.887894371540954,0.374597572618523,0.599356116189638,30.4944958420614,1814.23270985737,FALSE,1.65083167715319,11,4.30237270438067,1.71940409383485,11,FALSE,1.71940409383485,5.22322043343418,-0.535901026070727,0.448392451213011,0.603563940990709,11.6487697759052,-0.887894371540954,2.32795187990645e-31,0.374597572618523,TRUE,7,359.789750295694,NA,FALSE
"Faecalibacterium",184.696811645755,0.402375365759303,0.480032654789001,0.838224986873378,0.40190435620289,0.618314394158292,184.696811645755,22712.317228358,FALSE,1.09551036508513,9,1.59133699177659,1.11048880653692,11,FALSE,1.11048880653692,7.28708515907653,0.402375365759303,0.359088206801127,0.480032654789001,20.2933012587415,0.838224986873378,1.4736017694009e-91,0.40190435620289,TRUE,5,509.432533941435,NA,FALSE
"Prevotella",316.32191644665,-1.01028781709091,1.28625717385117,-0.785447760859528,0.432191087340888,0.627071349684302,316.32191644665,970146.368126047,FALSE,8.37042306114121,12,2.45341131943315,8.02095812306604,10,FALSE,8.02095812306604,8.78447244061193,-1.01028781709091,0.963152777891407,1.28625717385117,9.12053896562852,-0.785447760859528,7.47516441161902e-20,0.432191087340888,TRUE,100,354.887234757012,NA,TRUE
"Phascolarctobacterium",7.07212846885046,1.27920176307546,1.65278461794716,0.77396761149937,0.438949944779011,0.627071349684302,7.07212846885046,300.323085935021,FALSE,12.5541316999666,9,19.5264211484707,13.0464008848441,8,FALSE,13.0464008848441,1.97645402839572,1.27920176307546,1.2368482108396,1.65278461794716,1.59797621977725,0.77396761149937,0.110048269535248,0.438949944779011,TRUE,14,149.07454094693,NA,TRUE
"Unclassified_Prevotellaceae",2.37777690657288,1.51198325119424,2.18038225037419,0.693448706498483,0.488028005001312,0.673142075863878,2.37777690657288,84.7891340743086,FALSE,19.5149071809965,9,50.8093508676961,22.4659276034856,10,FALSE,22.4659276034856,0.261071435956523,1.51198325119424,1.6331340613804,2.18038225037419,0.159859158001918,0.693448706498483,0.872992021880899,0.488028005001312,TRUE,9,95.6313370265386,NA,TRUE
"Unclassified_Bacteria",58.1715006693401,0.291687560769251,0.456008676144401,0.639653532988668,0.522397871058307,0.696530494744409,58.1715006693401,7432.61167265828,FALSE,0.949391558239089,13,2.72396349956159,0.985786366465134,12,FALSE,0.985786366465134,5.69863330040186,0.291687560769251,0.339994672269456,0.456008676144401,16.7609488182965,0.639653532988668,4.71046522534476e-63,0.522397871058307,TRUE,5,416.029221660701,NA,FALSE
"Clostridium_XI",44.5566264126703,0.359038921077113,0.628088769470732,0.571637224750351,0.567567771133098,0.732345511139482,44.5566264126703,4799.4039594413,FALSE,1.83358527964986,12,3.79398126470673,1.88341004607372,11,FALSE,1.88341004607372,5.26380615916336,0.359038921077113,0.468997814779116,0.628088769470732,11.2235195842916,0.571637224750351,3.12577427793669e-29,0.567567771133098,TRUE,7,386.179342387411,NA,TRUE
"Alistipes",266.56162270253,0.487036481084775,0.974764198020135,0.499645434325558,0.61732476013838,0.771655950172975,266.56162270253,196091.032327466,FALSE,4.7483821896455,11,2.02177227507301,4.60447834856095,12,FALSE,4.60447834856095,7.76544344835468,0.487036481084775,0.729936927583387,0.974764198020135,10.6385129384587,0.499645434325558,1.97252234270807e-26,0.61732476013838,TRUE,18,460.634764185749,NA,FALSE
"Akkermansia",9.93952769828021,0.349306601811755,1.56093737009126,0.223780023788739,0.822928474512896,0.951572021539829,9.93952769828021,793.218823062258,FALSE,11.6459614123583,11,12.2465478460503,11.6826797160808,7,FALSE,11.6826797160808,3.09754179261724,0.349306601811755,1.16647467023736,1.56093737009126,2.65547282907304,0.223780023788739,0.00791973133237852,0.822928474512896,TRUE,14,163.792465632103,NA,TRUE
"Unclassified_Clostridiales",69.7464804398209,0.0809490732122001,0.422168666719687,0.191745810605004,0.847941320052749,0.951572021539829,69.7464804398209,3962.77539294165,FALSE,0.815699279857289,11,2.06283596193686,0.845225710229692,11,FALSE,0.845225710229692,6.08652194376894,0.0809490732122001,0.314586475933531,0.422168666719687,19.3476910464993,0.191745810605004,2.13180717109997e-83,0.847941320052749,TRUE,4,430.040316662808,NA,FALSE
"Odoribacter",15.8279187550049,0.263361688061681,1.45023035406232,0.181599900542672,0.855896726906859,0.951572021539829,15.8279187550049,1467.37672801618,FALSE,10.7686552096752,10,4.21060204867517,10.1170197867086,10,FALSE,10.1170197867086,3.83589336658145,0.263361688061681,1.08430211507192,1.45023035406232,3.53766105706343,0.181599900542672,0.000403687901985931,0.855896726906859,TRUE,32,201.821076581885,NA,FALSE
"Klebsiella",0.506242950732575,0.431102660769228,2.38257493932147,0.180939811652683,0.856414819385846,0.951572021539829,0.506242950732575,2.79493428022929,FALSE,17.6538560451895,12,92.3008332399349,25.9961863987999,8,FALSE,25.9961863987999,-1.28768449737936,0.431102660769228,1.77942571546657,2.38257493932147,-0.723651729986228,0.180939811652683,0.469279574369385,0.856414819385846,TRUE,20,57.6334947175461,NA,TRUE
"Barnesiella",3.44557813411302,-0.218783464588635,1.70291562279228,-0.128475810345726,0.897772440114198,0.960006298731963,3.44557813411302,137.924079938203,FALSE,12.0584149577512,8,43.3389457320981,13.6927819840616,7,FALSE,13.6927819840616,1.91944998095509,-0.218783464588635,1.26704030466553,1.70291562279228,1.51490838443516,-0.128475810345726,0.129795606771652,0.897772440114198,TRUE,10,125.482212969112,NA,TRUE
"Oscillibacter",19.7445736050347,0.0668020257862164,0.672543161348364,0.0993274924575648,0.920878250523262,0.960006298731963,19.7445736050347,705.477648399545,FALSE,2.09892479636112,11,2.83128126176059,2.12532970065004,9,FALSE,2.12532970065004,4.25081150309466,0.0668020257862164,0.500136598694701,0.672543161348364,8.4993010193391,0.0993274924575648,1.90735702571413e-17,0.920878250523262,TRUE,7,317.872157736028,NA,FALSE
"Unclassified_Burkholderiales",3.6709949478688,0.224690290802778,2.79846352733418,0.0802905911076205,0.936006141263664,0.960006298731963,3.6709949478688,132.348073697971,FALSE,36.9013595093851,7,41.3843745722975,37.6416202062638,6,FALSE,37.6416202062638,1.76201377410297,0.224690290802778,2.09217334260226,2.79846352733418,0.842193014423634,0.0802905911076205,0.399679923307697,0.936006141263664,TRUE,16,85.7829455855213,NA,TRUE
"Roseburia",34.6469407226417,-0.0112975945829552,0.415895012970476,-0.0271645348720668,0.978328502333161,0.978328502333161,34.6469407226417,593.553258643363,FALSE,0.734259375187654,11,4.72842402205844,0.801026591613564,9,FALSE,0.801026591613564,5.13757015331645,-0.0112975945829552,0.308199638464555,0.415895012970476,16.669617715685,-0.0271645348720668,2.17984188970442e-62,0.978328502333161,TRUE,5,373.074295495542,NA,FALSE
