"feature","Sample.type","visit","mean","sd","median","incidence"
"Bacteroides.Otu0848","control",2,0.00424757281553398,0.00600697508289543,0.00424757281553398,0.5
"Bacteroides.Otu0848","patient",1,0.0225169330095199,0.0349480355677239,0.00655792836724399,0.869565217391304
"Bacteroides.Otu0848","patient",2,0.014782090066039,0.0238862229718458,0.00205990424228928,0.764705882352941
"Bacteroides.Otu0848","patient",3,0.0736844346320794,0.137350706717382,0.00726435610495116,0.642857142857143
"Bacteroides.Otu0848","patient",4,0.0333500467793501,0.0582131630887555,0.00138747571917491,0.846153846153846
"Bacteroides.Otu2038","control",1,0.0129673316655132,0.0318515854672327,0.00274719516550661,0.777777777777778
"Bacteroides.Otu2038","control",2,0.00289812181208587,0.00238228457694815,0.00289812181208587,1
"Bacteroides.Otu2038","patient",1,0.0262285634222685,0.0646505431867635,0.00360128617363344,0.869565217391304
"Bacteroides.Otu2038","patient",2,0.0191435698377422,0.0431347439560335,0.00332746134272852,0.764705882352941
"Bacteroides.Otu2038","patient",3,0.0298160631923238,0.0889623976122338,0.00393217501197361,0.642857142857143
"Bacteroides.Otu2038","patient",4,0.0404387756151832,0.0811550046036806,0.00134138162307176,0.692307692307692
"Parabacteroides.Otu1736","control",1,0.00472690543275106,0.00589317282321875,0.00389978894393941,0.833333333333333
"Parabacteroides.Otu1736","control",2,0.00876381760496613,0.00591306196609792,0.00876381760496613,1
"Parabacteroides.Otu1736","patient",1,0.0250903272967537,0.0991605204189888,0.000132790368271955,0.565217391304348
"Parabacteroides.Otu1736","patient",2,0.0484698822286157,0.162767893216143,0,0.470588235294118
"Parabacteroides.Otu1736","patient",3,0.0256556652897237,0.048998194893253,0.000208855472013367,0.5
"Parabacteroides.Otu1736","patient",4,0.00124502756507007,0.00263432272547659,0,0.384615384615385
"Bacteroides.Otu2654","control",1,0.00526885212799461,0.00844162045783135,0.000543674025734743,0.722222222222222
"Bacteroides.Otu2654","control",2,0,0,0,0
"Bacteroides.Otu2654","patient",1,0.0478346565772067,0.0967655452716759,0.0107571369466281,0.782608695652174
"Bacteroides.Otu2654","patient",2,0.00601947302380376,0.0145627760582836,0.000825082508250825,0.647058823529412
"Bacteroides.Otu2654","patient",3,0.0075175761474179,0.0205683534248074,0.00035163146658393,0.714285714285714
"Bacteroides.Otu2654","patient",4,0.00881646132838903,0.0155534358839729,0.000623247117482082,0.769230769230769
"Bacteroides.Otu2065","control",1,0.00704569268733458,0.0137762135166696,0,0.333333333333333
"Bacteroides.Otu2065","control",2,0,0,0,0
"Bacteroides.Otu2065","patient",1,0.0211195202041401,0.0820742750956232,0,0.217391304347826
"Bacteroides.Otu2065","patient",2,0.00696445901256706,0.0274500422780599,0,0.235294117647059
"Bacteroides.Otu2065","patient",3,0.0392537543793327,0.140320792979039,0,0.214285714285714
"Bacteroides.Otu2065","patient",4,0.0171868081379222,0.0318593839551593,0,0.384615384615385
"Bacteroides.Otu0863","control",1,0.0076454015580413,0.00881500337412435,0.00608253072538787,0.777777777777778
"Bacteroides.Otu0863","control",2,0.0625,0.0883883476483184,0.0625,0.5
"Bacteroides.Otu0863","patient",1,0.0322862588919039,0.057896506384693,0.0149273803119957,0.869565217391304
"Bacteroides.Otu0863","patient",2,0.0118936365974583,0.0339526008803702,0.000323939099449304,0.588235294117647
"Bacteroides.Otu0863","patient",3,0.0052352562718626,0.00761791955531086,0.000864207809322366,0.571428571428571
"Bacteroides.Otu0863","patient",4,0.0126623975109591,0.0290065487877849,0.00064998375040624,0.615384615384615
"Bacteroides.Otu2431","control",1,0.0175150695695995,0.021948927486346,0.00694759440029328,0.722222222222222
