"name","statistic","pval","pval.adjusted","common.lang.eff.size","rank.biserial.corr.eff.size","r.eff.size","l2fc.patient.by.control","mean.control","mean.patient","l2fc.paired.median","median.paired.control","median.paired.patient"
"Roseburia.Otu1051",33,0.07391357421875,0.257601351351351,0.25,-0.5,0.446786995358712,-0.0233865651820822,0.00258789291755927,0.0025462805016661,-1.47197170078337,0.00183982511363671,0.000909639899844015
"Bacteroides.Otu0069",91,0.083251953125,0.260429186698718,0.71875,0.4375,0.447231817437426,1.33447105548965,0.00603304435001039,0.0152143125557414,0.415156774861259,0.00487706988370475,0.0107802235320398
"Bacteroides.Otu2460",100,0.104583740234375,0.303267045454545,0.6875,0.375,0.405756624833015,1.97635086444871,0.000745561399751372,0.00293375813716708,2.73391996085782,0.000275993182644114,0.000700536341520251
"Bacteroides.Otu2654",98,0.129730224609375,0.323001783721301,0.5625,0.125,0.37879164453564,3.11862211769973,0.00532532145157143,0.0462535031272196,1.8955697224321,0.000766806444730383,0.00827032526497776
"Bacteroides.Otu2765",88,0.12054443359375,0.323001783721301,0.59375,0.1875,0.400851831519948,1.54214877349391,0.00475726146242388,0.0138544745687554,1.18126476411527,0.00136247502553156,0.00583068942248639
"Bacteroides.Otu2104",87,0.1353759765625,0.323840571384804,0.65625,0.3125,0.385551329851781,1.39594225888814,0.0024442634719113,0.00643233285277436,0.877257806513235,0.000692955930102718,0.00292269540517896
"Oscillibacter.Otu1518",6,0.013671875,0.0981158088235294,0.21875,-0.5625,0.743457898182167,-2.67662220271441,0.00264258130498765,0.000413318446290299,-2.64262782098882,0.000477382623372243,0
"Erysipelotrichaceae_incertae_sedis.Otu0818",71,0.080322265625,0.257876747532895,0.65625,0.3125,0.485035194719819,5.36903953239716,0.000650962433714888,0.0269028242082378,2.92489718942263,7.07663998769663e-05,0.000847013953144666
"Lachnospiracea_incertae_sedis.Otu0651",28,0.13525390625,0.323840571384804,0.25,-0.5,0.399208262483405,-1.81293103734351,0.00231226735641488,0.000658099295272769,-2.15215428582118,0.000434163870730079,4.32937916161759e-05
"Faecalibacterium.Otu0751",47,0.2978515625,0.568323692908654,0.375,-0.25,0.26026292060949,-0.280779651579746,0.0068197163809701,0.00561362265550016,-0.185836965486334,0.00437489454204366,0.00279284177361794
"Ruminococcus.Otu1429",17,0.09228515625,0.278963414634146,0.25,-0.5,0.485974415498503,-1.55709930472146,0.00257096996442432,0.000873702153258517,-19.087125340732,0.00173542725652627,0
