"feature","DietStatus","mean","sd","median","incidence"
"3317","before.diet",34.3695659802596,8.95897337453997,33.1260638331554,1
"3571.34482758621","after.diet",28.7998994439128,11.0276933243157,31.6257027549114,1
"3571.34482758621","before.diet",35.8662582510164,9.46053756216294,35.617384050295,1
"3642","after.diet",28.9409173715293,11.0787621634182,31.7965480518296,1
"3642","before.diet",36.0238401102056,9.51358737641363,35.7863850241141,1
"4463.93103448276","after.diet",30.429821246709,11.6192909561223,33.6082245339714,1
"4463.93103448276","before.diet",38.3519324396639,10.9106276099219,37.3566892647582,1
"5208","after.diet",31.5945031697527,12.0421402190006,35.0339730370336,1
"5208","before.diet",39.6527284641564,11.5044711887222,38.4488381023522,1
"5356.51724137931","after.diet",35.0089881637067,7.0860544522824,36.2677248558409,1
"5356.51724137931","before.diet",39.8962065896239,11.6223076371253,38.6526841725935,1
"6174","after.diet",36.2185444425475,7.31778334717632,37.4170615311811,1
"6174","before.diet",41.1519996133368,12.2645190741295,39.7032387868328,1
"6249.10344827586","after.diet",36.6023198737709,7.79306274498419,37.6607130355791,1
"6249.10344827586","before.diet",41.261405629653,12.3232584618185,39.7947757527507,1
"7141.68965517241","after.diet",37.786900305067,8.02759157507821,38.8650905624191,1
"7141.68965517241","before.diet",42.5024018366613,13.0221423553636,40.8342499763008,1
"8034.27586206897","after.diet",38.839593117909,8.24162076040726,39.9381950094412,1
"8034.27586206897","before.diet",43.6478489294078,13.7230043261258,41.7964469286893,1
"8839","after.diet",39.6989346441224,8.42064713096112,40.8141825431161,1
"8839","before.diet",44.61809344725,14.3616520641817,42.4223680967564,1
"8926.86206896552","after.diet",38.6025190747544,8.36494499153058,40.4098607724816,1
"8926.86206896552","before.diet",44.7210254237022,14.4319480225845,42.478349020343,1
"9179","after.diet",38.8542417479439,8.42806860134973,40.6470173424411,1
"9179","before.diet",45.0126720517102,14.6338532761249,42.634953421898,1
"9819.44827586207","after.diet",39.4658153616734,8.58390495480733,41.2290853288101,1
"9819.44827586207","before.diet",39.9201146899507,5.78133972531464,41.2646181243919,1
"10218","after.diet",39.8285126382185,8.67799042408045,41.5786345657301,1
"10218","before.diet",40.221128790449,5.82237658841198,41.4956841735628,1
"10302","after.diet",38.2012509408528,8.15139319281143,41.113262115542,1
"10302","before.diet",40.2832426053691,5.83122155655445,41.5434301485027,1
"10712.0344827586","after.diet",38.5255578538433,8.2153322559316,41.4825001333543,1
"10712.0344827586","before.diet",39.4277640556257,6.09681441260634,38.2719736746733,1
"11549","after.diet",39.1515281073255,8.34115280580827,42.2013356989886,1
"11549","before.diet",40.0642016895203,6.29106131627538,38.786598333557,1
"11604.6206896552","after.diet",39.1917951738705,8.34936042186965,42.2478603343354,1
"11604.6206896552","before.diet",37.4516508346068,4.16598009140036,35.3935481793176,1
"11730","after.diet",39.2809836698192,8.36759082539424,42.3510337359917,1
"11730","before.diet",37.5241677079516,4.1590308555098,35.4771236714654,1
"12497.2068965517","after.diet",38.8579671922951,9.11314989930744,42.5103970286349,1
"12497.2068965517","before.diet",37.9543219929978,4.11814389054991,35.9730486038259,1
"13163","after.diet",39.2878731282459,9.21818639008615,43.027628661965,1
"13163","before.diet",38.3083615135263,4.08465870846024,36.3818667255494,1
"13389.7931034483","after.diet",39.4300174486048,9.25383469204788,43.1972643148805,1
"13389.7931034483","before.diet",36.0864256194711,0.608835687816505,36.0864256194711,1
"13904","after.diet",39.7441154134473,9.33433743439232,43.5694192756147,1
"13904","before.diet",36.3597286650251,0.644210355458542,36.3597286650251,1
"14282.3793103448","after.diet",40.6840249781025,10.6880763486896,44.2754494945031,1
