"feature","age.quant","mean","sd","median","incidence"
"Unclassified_Ruminococcaceae","(8.71,15.3]",-0.024411787226069,0.034246283396731,-0.0192522731958618,0.25
"Unclassified_Ruminococcaceae","(15.3,26.4]",-0.0107551171408268,0.0302185685189716,-0.019554146901493,0.2
"Blautia","[3.18,6.27]",0.00152579422828102,NA,0.00152579422828102,1
"Blautia","(6.27,8.71]",-0.0149358935247672,0.0173317635148493,-0.0149358935247672,0
"Blautia","(8.71,15.3]",-0.00811464560610085,0.00481095504839522,-0.00731376995211508,0
"Blautia","(15.3,26.4]",0.00363854284151281,0.0135100272898153,-0.00333617221976444,0.4
"Clostridium_IV","[3.18,6.27]",-0.0122276745667835,NA,-0.0122276745667835,0
"Clostridium_IV","(6.27,8.71]",-0.0250531004061068,0.00207296738441518,-0.0250531004061068,0
"Clostridium_IV","(8.71,15.3]",-0.0126447390444,0.0321633741450409,-0.00211021636270146,0.25
"Clostridium_IV","(15.3,26.4]",-0.00469417246239661,0.0134932189517777,-0.00221788437568156,0.4
"Coprococcus","[3.18,6.27]",-0.0158580675600162,NA,-0.0158580675600162,0
"Coprococcus","(6.27,8.71]",-0.000794511369603441,0.000743750160378043,-0.000794511369603441,0
"Coprococcus","(8.71,15.3]",-0.00127512943760061,0.0028719344220823,-7.1715432915323e-05,0.375
"Coprococcus","(15.3,26.4]",-0.00529374127120674,0.0108210574989529,-0.000141532799753933,0
"Unclassified_Clostridiales","[3.18,6.27]",-0.0145159070017002,NA,-0.0145159070017002,0
"Unclassified_Clostridiales","(6.27,8.71]",-0.0499076195620981,0.0518461797307054,-0.0499076195620981,0
"Unclassified_Clostridiales","(8.71,15.3]",-0.00353680254288993,0.0135361046534956,-0.00847837829465659,0.125
"Unclassified_Clostridiales","(15.3,26.4]",0.000371592136470815,0.0108313418821386,-0.0031617008424143,0.4
"Bifidobacterium","[3.18,6.27]",0.000689687806085608,NA,0.000689687806085608,1
"Bifidobacterium","(6.27,8.71]",-0.0054871484916666,0.00219916830667423,-0.0054871484916666,0
"Bifidobacterium","(8.71,15.3]",0.000861080723964165,0.00818708791145785,-0.000742961940201732,0.125
"Bifidobacterium","(15.3,26.4]",-0.00668364473713515,0.0154639397054143,6.07053966724828e-05,0.6
"Roseburia","[3.18,6.27]",0.00403716352291418,NA,0.00403716352291418,1
"Roseburia","(6.27,8.71]",-0.0104053661437529,0.0134544115420613,-0.0104053661437529,0
"Roseburia","(8.71,15.3]",-0.00434115569167232,0.00563604986982781,-0.00344329072578465,0.25
"Roseburia","(15.3,26.4]",-0.000629381246342543,0.00380424324720806,-0.000323660264491679,0.4
"Flavonifractor","[3.18,6.27]",0.0020287464486516,NA,0.0020287464486516,1
"Flavonifractor","(6.27,8.71]",-0.00294014179336122,0.00225869597770477,-0.00294014179336122,0
"Flavonifractor","(8.71,15.3]",0.00138533262785343,0.00237891921138555,0.000606904682948909,0.75
"Flavonifractor","(15.3,26.4]",0.00106746777082285,0.00209833453584472,0.000571102107046345,0.8
"Dorea","[3.18,6.27]",-0.00140279648637818,NA,-0.00140279648637818,0
"Dorea","(6.27,8.71]",-0.00987203771682078,0.00687311034194485,-0.00987203771682078,0
"Dorea","(8.71,15.3]",-0.00460213387988359,0.00867680775607777,-0.00278084647507562,0.125
"Dorea","(15.3,26.4]",0.00367437715846024,0.00886650528187604,0.00262378910758237,0.6
"Oscillibacter","[3.18,6.27]",-0.000829015449082341,NA,-0.000829015449082341,0
"Oscillibacter","(6.27,8.71]",0.00445683313194548,0.00602109862001922,0.00445683313194548,1
"Oscillibacter","(8.71,15.3]",-0.00393621377854124,0.00651376844832431,-0.00145187478038631,0.25
