"feature","visit","Drug.Before.Diet","mean","sd","median","incidence"
"Akkermansia",1,"DrugBefore_NO",0.00666149530240099,0.012038080638996,0,0.4
"Akkermansia",1,"DrugBefore_YES",0.0135530595455992,0.0485697460662992,0,0.307692307692308
"Akkermansia",2,"DrugBefore_NO",0.000412541254125412,0.00109148156397054,0,0.142857142857143
"Akkermansia",2,"DrugBefore_YES",0.000374719925828633,0.00118496845026784,0,0.1
"Akkermansia",3,"DrugBefore_NO",0.000187265917602996,0.000458705944341419,0,0.166666666666667
"Akkermansia",3,"DrugBefore_YES",0.000861731296513905,0.00243734417330263,0,0.125
"Akkermansia",4,"DrugBefore_NO",6.16655875188851e-05,0.000151049224110207,0,0.166666666666667
"Akkermansia",4,"DrugBefore_YES",0,0,0,0
"Escherichia_Shigella",1,"DrugBefore_NO",0.0133738482286043,0.0405192640952173,6.43086816720257e-05,0.5
"Escherichia_Shigella",1,"DrugBefore_YES",0.0146637348997073,0.0482388134447504,0,0.307692307692308
"Escherichia_Shigella",2,"DrugBefore_NO",0.000850800945434598,0.0020014670681567,0,0.428571428571429
"Escherichia_Shigella",2,"DrugBefore_YES",1.23882412089627e-05,2.8334273834316e-05,0,0.2
"Escherichia_Shigella",3,"DrugBefore_NO",0.00173884284485271,0.00169362916561796,0.0017979066994724,0.666666666666667
"Escherichia_Shigella",3,"DrugBefore_YES",0.00281847642255799,0.00683627743484743,0.000315694637202387,0.625
"Escherichia_Shigella",4,"DrugBefore_NO",0.000226076694100127,0.000319743313106522,4.16146483562214e-05,0.5
"Escherichia_Shigella",4,"DrugBefore_YES",0.0138146654890123,0.0223186022189877,0.00159011681242737,0.571428571428571
"Unclassified_Burkholderiales",1,"DrugBefore_NO",0.00163336625389349,0.00516515761556029,0,0.1
"Unclassified_Burkholderiales",1,"DrugBefore_YES",0.00137761542208338,0.00339393919983801,0,0.230769230769231
"Unclassified_Burkholderiales",2,"DrugBefore_NO",0,0,0,0
"Unclassified_Burkholderiales",2,"DrugBefore_YES",0.00558957799799577,0.0176757976328307,0,0.1
"Unclassified_Burkholderiales",3,"DrugBefore_NO",0,0,0,0
"Unclassified_Burkholderiales",3,"DrugBefore_YES",9.21557062813329e-06,2.60655699346265e-05,0,0.125
"Unclassified_Burkholderiales",4,"DrugBefore_NO",4.16146483562214e-05,0.000101934654298093,0,0.166666666666667
"Unclassified_Burkholderiales",4,"DrugBefore_YES",0,0,0,0
"Clostridium_IV",1,"DrugBefore_NO",0.00439908870006587,0.00769287984562108,0.00157321061083488,0.9
"Clostridium_IV",1,"DrugBefore_YES",0.00574042711731881,0.00971939259383895,0.0014606940509915,0.769230769230769
"Clostridium_IV",2,"DrugBefore_NO",0.00186117267874064,0.00396491135118399,0.000161969549724652,0.571428571428571
"Clostridium_IV",2,"DrugBefore_YES",0.00186213172829273,0.00350571291714517,0.000725215894957126,0.6
"Clostridium_IV",3,"DrugBefore_NO",0.00234178028038509,0.0052813350728983,0.000131475151196424,0.5
"Clostridium_IV",3,"DrugBefore_YES",0.00145321521686456,0.00217408428627317,0.00046087505469232,0.75
"Clostridium_IV",4,"DrugBefore_NO",0.00680516942306623,0.0150430385646042,0.000323422876771177,0.666666666666667
"Clostridium_IV",4,"DrugBefore_YES",0.00188150428775813,0.00395956692136734,0.00022306491188936,0.714285714285714
"Phascolarctobacterium",1,"DrugBefore_NO",0.00149440380988447,0.00434299530841061,0,0.4
"Phascolarctobacterium",1,"DrugBefore_YES",0.00227186834481631,0.00519363076762151,0,0.384615384615385
"Phascolarctobacterium",2,"DrugBefore_NO",0.000597496738570473,0.00125524523446629,0,0.285714285714286
"Phascolarctobacterium",2,"DrugBefore_YES",0.000846407508503568,0.00179116480700222,0,0.2
"Phascolarctobacterium",3,"DrugBefore_NO",0,0,0,0
"Phascolarctobacterium",3,"DrugBefore_YES",0.00277972364810286,0.00558758734090563,0,0.25
"Phascolarctobacterium",4,"DrugBefore_NO",1.38715494520738e-05,3.39782180993644e-05,0,0.166666666666667
"Phascolarctobacterium",4,"DrugBefore_YES",0.00469538780917662,0.00676973979914227,0,0.428571428571429
"Klebsiella",1,"DrugBefore_NO",0.000747807333604717,0.00215362609687941,0,0.3
"Klebsiella",1,"DrugBefore_YES",8.29221271166424e-05,0.0002262811082215,0,0.153846153846154
"Klebsiella",2,"DrugBefore_NO",0.000191148387001059,0.000358462430476026,0,0.285714285714286
"Klebsiella",2,"DrugBefore_YES",1.62513332278146e-05,3.43125350159658e-05,0,0.2
"Klebsiella",3,"DrugBefore_NO",0.00913420740508758,0.0221911706686011,0,0.333333333333333
"Klebsiella",3,"DrugBefore_YES",0,0,0,0
"Klebsiella",4,"DrugBefore_NO",0.00121842772090311,0.00196275704504451,0,0.333333333333333
"Klebsiella",4,"DrugBefore_YES",0.0117101606123014,0.0289059286192882,0.000230751480655334,0.571428571428571
"Unclassified_Bacteria",1,"DrugBefore_NO",0.0147999621018658,0.0271663810363806,0.00444846431831815,1
"Unclassified_Bacteria",1,"DrugBefore_YES",0.00380663112047994,0.00416438408780798,0.00225743626062323,0.923076923076923
"Unclassified_Bacteria",2,"DrugBefore_NO",0.00218614160959952,0.00220715111244376,0.001388246182323,0.857142857142857
"Unclassified_Bacteria",2,"DrugBefore_YES",0.00214481699737438,0.00181207510046806,0.00205389448672318,0.9
"Unclassified_Bacteria",3,"DrugBefore_NO",0.00526950877902661,0.00382376491774147,0.00344446517163293,1
"Unclassified_Bacteria",3,"DrugBefore_YES",0.0019816885213677,0.00153728633713229,0.00134462674508441,1
"Unclassified_Bacteria",4,"DrugBefore_NO",0.00411386498817114,0.0042505653447617,0.00200741652286824,1
"Unclassified_Bacteria",4,"DrugBefore_YES",0.00521914606330342,0.00837041103296058,0.00139881877525645,1
"Prevotella",1,"DrugBefore_NO",0.113374350618051,0.2365126297632,0.00440172254032324,0.8
"Prevotella",1,"DrugBefore_YES",0.0485950308518817,0.130548945459528,0,0.461538461538462
"Prevotella",2,"DrugBefore_NO",0.192243847471902,0.325217000769089,0.002313743637205,0.857142857142857
"Prevotella",2,"DrugBefore_YES",0.0506820724311686,0.144877265897723,0.000141576827036852,0.8
"Prevotella",3,"DrugBefore_NO",0.101433049244343,0.205587968494904,0.000237840409085504,0.5
"Prevotella",3,"DrugBefore_YES",0.00774049947950058,0.0209225543121038,0.000179277601762081,0.625
"Prevotella",4,"DrugBefore_NO",0.004440271049936,0.0104977703192456,0.000138747571917491,0.5
"Prevotella",4,"DrugBefore_YES",0.000523119573661149,0.000993237110550083,0.0002140541862883,0.857142857142857
"Unclassified_Clostridiaceae_1",1,"DrugBefore_NO",0.00049527380933549,0.000880200826248815,8.84597216417321e-05,0.6
