"Bacteroides.Otu0001"	"Bacteroides.Otu2520"	"Prevotella.Otu1987"	"Bacteroides.Otu2654"	"Bacteroides.Otu0863"	"Faecalibacterium.Otu0067"	"Bacteroides.Otu2038"	"Alistipes.Otu2508"	"Bacteroides.Otu0848"	"Bacteroides.Otu0929"	"Bacteroides.Otu2431"	"Parabacteroides.Otu1736"	"Ruminococcus.Otu1859"	"Bacteroides.Otu2065"	"Bacteroides.Otu2625"	"Prevotella.Otu1994"	"Alistipes.Otu1466"	"Escherichia_Shigella.Otu2393"	"Bacteroides.Otu1201"	"Blautia.Otu2475"	"Erysipelotrichaceae_incertae_sedis.Otu0818"	"Bacteroides.Otu0661"	"Bacteroides.Otu0069"	"Clostridium_XI.Otu1804"	"Bacteroides.Otu2765"	"Bacteroides.Otu0480"	"Bacteroides.Otu0786"	"Bacteroides.Otu0006"	"Akkermansia.Otu1935"	"Bacteroides.Otu2481"	"Bacteroides.Otu2437"	"Faecalibacterium.Otu0751"	"Bacteroides.Otu1726"	"Clostridium_XlVa.Otu0236"	"Prevotella.Otu1633"	"Dorea.Otu1142"	"Bacteroides.Otu1624"	"Bifidobacterium.Otu1244"	"Bacteroides.Otu2343"	"Prevotella.Otu2602"	"Sutterella.Otu0171"	"Bacteroides.Otu2104"	"Lactobacillus.Otu0959"	"Megamonas.Otu2657"	"Prevotella.Otu1803"	"Lachnospiraceae.Otu0220"	"Lachnospiraceae.Otu2512"	"Ruminococcaceae.Otu1504"	"Clostridiales.Otu1597"	"Prevotella.Otu0634"	"Bacteroides.Otu0877"	"Parabacteroides.Otu1378"	"Lachnospiraceae.Otu2222"	"Clostridium_XI.Otu2681"	"Bacteroides.Otu1565"	"Gemmiger.Otu0907"	"Enterococcus.Otu1019"	"Bacteroides.Otu2216"	"Lachnospiraceae.Otu0898"	"Megamonas.Otu1877"	"Ruminococcus.Otu0422"	"Sutterella.Otu1997"	"Clostridium_IV.Otu1864"	"Prevotella.Otu1319"	"Phascolarctobacterium.Otu1814"	"Prevotella.Otu0738"	"Lachnospiracea_incertae_sedis.Otu1152"	"Lachnospiracea_incertae_sedis.Otu0113"	"Roseburia.Otu1051"	"Klebsiella.Otu1452"	"Blautia.Otu2495"	"Prevotella.Otu1563"	"Bacteroides.Otu2120"	"Bacteroides.Otu2375"	"Lachnospiraceae.Otu0790"	"Parabacteroides.Otu1107"	"Bacteroidales.Otu1168"	"Lachnospiraceae.Otu2599"	"Prevotella.Otu0773"	"Bacteroides.Otu2534"	"Lachnospiracea_incertae_sedis.Otu0778"	"Bacteria.Otu0435"	"Alistipes.Otu0529"	"Lachnospiracea_incertae_sedis.Otu1990"	"Bacteroides.Otu2460"	"Streptococcus.Otu0749"	"Prevotella.Otu0882"	"Oscillibacter.Otu0154"	"Lachnospiraceae.Otu0272"	"Blautia.Otu0620"	"Lachnospiracea_incertae_sedis.Otu2549"	"Roseburia.Otu2084"	"Lachnospiraceae.Otu0875"	"Bacteroides.Otu2416"	"Ruminococcaceae.Otu0064"	"Bacteroides.Otu1411"	"Lachnospiracea_incertae_sedis.Otu2746"	"Ruminococcus.Otu1429"	"Prevotella.Otu2666"	"Bacteroides.Otu1669"	"Lachnospiracea_incertae_sedis.Otu0651"	"Bacteroides.Otu2383"	"Blautia.Otu0591"	"Lachnospiraceae.Otu1734"	"Bacteroides.Otu0775"	"Catenibacterium.Otu2320"	"Lachnospiraceae.Otu0578"	"Prevotellaceae.Otu2503"	"Lachnospiraceae.Otu2612"	"Prevotella.Otu2327"	"Bacteroides.Otu0752"	"Prevotella.Otu2501"	"Ruminococcaceae.Otu2507"	"Prevotella.Otu2702"	"Prevotella.Otu2220"	"Bacteroides.Otu1854"	"Bacteroides.Otu0801"	"other"
3746	10	0	4972	576	231	775	53	38	1429	500	0	0	0	6	0	825	0	99	208	47	1592	319	43	62	0	0	527	520	0	0	73	0	162	1	1	0	0	0	0	3	43	0	0	0	13	0	0	0	0	0	0	0	4	0	0	0	0	8	0	0	0	0	0	0	0	1	5	17	0	38	0	0	156	0	0	0	3	0	0	0	0	0	0	31	0	0	10	0	495	0	4	4	20	0	1	2	0	0	1	0	285	34	12	7	0	0	0	0	0	22	0	0	0	0	0	0	1778
2163	1267	1	164	71	372	443	0	1110	364	272	105	248	353	57	0	10	9	2	91	76	249	188	154	320	1	0	351	0	0	2	162	0	74	0	129	0	3	1	1	0	157	0	0	0	63	176	0	0	1	120	4	38	47	1	18	0	134	11	0	0	83	0	0	0	0	40	37	45	0	31	0	0	114	11	15	5	20	0	0	92	0	67	81	14	0	0	41	26	45	5	58	35	3	292	2	47	46	0	58	112	5	17	19	27	0	5	0	113	0	16	0	0	0	0	3	0	2437
519	204	0	50	70	201	18	202	119	124	146	35	119	260	24	0	17	0	12	70	0	84	58	45	105	0	0	34	0	0	0	83	0	86	0	19	33	0	0	0	0	59	0	0	0	30	120	52	0	5	13	20	48	1	0	57	0	17	0	0	0	166	52	0	0	0	11	36	34	0	24	0	23	6	3	7	2	13	0	0	43	0	26	23	4	0	0	1	32	5	15	16	13	15	0	22	17	16	0	8	144	18	9	17	1	0	6	0	27	0	4	0	7	0	0	0	0	2434
479	189	0	12	138	359	52	0	29	380	788	55	160	1	27	0	0	0	218	87	0	614	64	45	25	48	11	59	0	4752	837	142	3709	16	0	33	5	0	6	0	29	13	0	191	0	106	207	13	0	1	10	5	29	1	25	98	0	0	0	0	55	0	3	0	0	0	26	92	18	0	36	0	14	51	3	6	0	16	0	0	16	0	0	33	16	0	0	0	4	7	14	20	39	7	0	363	23	10	0	10	1	48	12	17	79	0	50	0	33	0	117	0	2	0	0	0	438	1667
384	1158	0	26	1848	71	1823	6	68	1011	345	0	25	0	14	0	96	0	310	123	11	673	24	10	12	0	30	232	0	0	0	39	0	60	0	4	2	0	29	0	0	14	0	0	0	6	2	0	0	0	43	0	0	0	0	86	0	0	10	0	0	0	0	0	0	0	0	4	14	0	75	0	0	85	36	0	0	1	0	0	150	0	0	1	14	0	0	0	1	53	3	39	37	0	0	1	0	0	0	25	1	170	16	2	1	0	0	0	85	0	7	0	0	0	0	0	0	2133
1332	38	0	201	75	45	4	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	114	0	0	41	2	0	0	5	0	1	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	26	7	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228
510	120	110	13	66	87	52	52	46	52	15	15	1	0	58	169	0	0	121	1	0	15	46	11	53	2	0	34	0	0	2	24	0	1	3	0	0	0	0	14	0	20	0	0	11	0	0	0	0	6	3	95	0	0	1	5	0	0	0	0	0	152	0	10	0	0	0	0	0	0	0	23	34	1	0	0	135	0	1	0	0	0	20	0	19	0	49	0	0	0	0	0	0	4	0	0	0	0	0	9	0	2	2	0	0	0	0	0	0	3	12	0	0	0	2	0	0	316
2491	142	1759	565	454	44	257	631	87	242	68	3	0	0	11	0	583	0	225	42	0	220	302	5	109	0	206	298	0	0	1	14	0	8	737	42	1	0	174	189	0	75	0	0	181	5	23	0	14	246	15	175	0	3	0	11	1	0	12	0	0	208	9	3	5	1601	2	10	10	0	5	47	142	56	19	21	13	8	2	4	9	0	0	2	12	0	134	4	0	8	0	27	13	55	2	1	1	12	1	6	2	54	11	14	3	0	0	0	20	12	10	428	0	0	574	0	0	2222
136	447	0	36	57	47	2	38	172	20	65	15	0	0	6	0	8	0	15	5	19	21	24	22	126	0	8	6	534	0	27	9	0	7	0	39	1	1	12	0	13	50	0	0	0	13	0	0	0	0	17	16	0	2	38	26	0	1	4	0	0	0	0	0	54	0	0	3	0	0	0	0	5	11	4	55	0	1	0	0	0	0	0	0	2	0	0	1	1	2	0	3	45	7	0	2	0	0	0	16	19	2	2	0	2	0	0	0	0	0	6	0	4	0	0	24	0	729
391	569	0	202	6	22	32	0	359	11	25	0	7	324	614	0	0	0	6	16	13	13	54	1	37	0	0	24	0	0	0	7	0	14	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13	0	0	0	0	1	11	115	1	0	0	6	0	0	0	0	0	0	7	0	0	0	0	18	1	0	2	2	0	0	0	0	0	0	47	0	0	4	0	2	0	0	0	0	0	0	0	0	0	13	4	0	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	311
