"feature","Sample.type.Drug.Before","visit","mean","sd","median","incidence"
"2256.24137931034","patient TRUE .",1,29.2258458942625,7.96498443483655,27.4232103878087,1
"2256.24137931034","patient TRUE .",2,26.0542247436063,8.44512950644577,28.1337276596279,1
"2256.24137931034","patient TRUE .",3,30.7718294990242,6.56943822793159,32.1004462960593,1
"2256.24137931034","patient TRUE .",4,28.9403356937123,6.85809844261218,28.8319968810162,1
"2272","1",1,38.8519798563559,8.16481884326165,38.8915757472162,1
"2272","1",2,43.7717338514381,0.317063379233627,43.7717338514381,1
"2272","patient FALSE .",1,35.9829566103522,8.1031198239893,34.0756070338245,1
"2272","patient FALSE .",2,28.1964689012361,14.5781015025551,30.2649332733623,1
"2272","patient FALSE .",3,34.0757751781665,7.08000774833141,35.2974930088644,1
"2272","patient FALSE .",4,34.5336338273751,6.41639880874205,32.2211644347665,1
"2272","patient TRUE .",1,29.2795079233226,7.97120926239218,27.4797971483025,1
"2272","patient TRUE .",2,26.1008255944551,8.45452477539138,28.1820023097075,1
"2272","patient TRUE .",3,30.8232099304974,6.574890135662,32.1507487531008,1
"2272","patient TRUE .",4,28.9901517757831,6.86957665800065,28.8678307362357,1
"2394","1",1,39.1037715564475,8.4882070786491,38.326326419532,1
"2394","1",2,44.3040483056421,0.441747269217221,44.3040483056421,1
"2394","patient FALSE .",1,36.3922341381902,8.16240071026808,34.3709149328473,1
"2394","patient FALSE .",2,28.5531587322389,14.7682655567804,30.6419183044624,1
"2394","patient FALSE .",3,34.4555257969988,7.17311136841508,35.7489324468232,1
"2394","patient FALSE .",4,34.9742159881771,6.56569041899065,32.5897917424137,1
"2394","patient TRUE .",1,29.6784165164447,8.01761025350917,27.8932897001683,1
"2394","patient TRUE .",2,26.4475926955254,8.52413380685893,28.5411035500436,1
"2394","patient TRUE .",3,31.2052590882748,6.61322049070156,32.5227495318634,1
"2394","patient TRUE .",4,29.3612745673808,6.95614117615155,29.133960201659,1
"2411","1",1,39.1647036256056,8.5012239960269,38.3943674725877,1
"2411","1",2,44.3761704340614,0.459198162793364,44.3761704340614,1
"2411","patient FALSE .",1,36.4473651268779,8.17059123741718,34.410023577473,1
"2411","patient FALSE .",2,28.6017928739217,14.7944009447949,30.6933121201048,1
"2411","patient FALSE .",3,34.5072803313017,7.18603194663043,35.8036528339572,1
"2411","patient FALSE .",4,35.0340370329875,6.58622531296839,32.6398424585274,1
"2411","patient TRUE .",1,29.732615023139,8.02392854445506,27.9484336975033,1
"2411","patient TRUE .",2,26.4947605081462,8.53355675917857,28.5899299658104,1
"2411","patient TRUE .",3,32.5725547787517,5.91195496478482,33.5698524949968,1
"2411","patient TRUE .",4,29.4118178018105,6.96807642735791,29.1701059109534,1
"2417","1",1,39.186121272616,8.50578755391618,38.4182855621806,1
"2417","1",2,44.4015084676914,0.465360041607761,44.4015084676914,1
"2417","patient FALSE .",1,36.4667164093427,8.17347870077148,34.4237114381564,1
"2417","patient FALSE .",2,28.6188975686521,14.8036049451814,30.7113873567004,1
"2417","patient FALSE .",3,34.5254817063359,7.19058988471656,35.8229022501029,1
"2417","patient FALSE .",4,35.0550618824632,6.59345711581178,32.6574333969143,1
"2417","patient TRUE .",1,29.7516656609127,8.02614997649486,27.9677544383579,1
"2417","patient TRUE .",2,28.4559428427597,6.28063266719041,29.1014558842107,1
"2417","patient TRUE .",3,32.5909164826064,5.91396644408155,33.589691325807,1
"2417","patient TRUE .",4,29.4295910230663,6.97228182977519,29.1828114831424,1
"2424","1",1,39.2110511437676,8.51109166715262,38.4461269820744,1
"2424","1",2,44.4309928560278,0.472550461020533,44.4309928560278,1
"2424","patient FALSE .",1,36.4892230860863,8.17684532596984,34.4396051733047,1
"2424","patient FALSE .",2,28.6388135512867,14.8143297032663,30.7324334318757,1
"2424","patient FALSE .",3,34.5466742044309,7.19590609284336,35.8453182683468,1
"2424","patient FALSE .",4,35.0795329737682,6.60188377277671,32.6779077118261,1
"2424","patient TRUE .",1,29.3363976654582,8.22234039001243,27.1662806572192,1
"2424","patient TRUE .",2,28.4761042723802,6.28353612179803,29.1244562604525,1
"2424","patient TRUE .",3,32.6122845440036,5.91630529799966,33.6127587426949,1
"2424","patient TRUE .",4,29.4502835743596,6.97718354013751,29.1976009251904,1
"2431","1",1,39.235919576519,8.51637432397263,38.4739009265443,1
"2431","1",2,44.4603949752762,0.479742383687529,44.4603949752762,1
"2431","patient FALSE .",1,36.5116549629811,8.18020978094284,34.4554180421657,1
"2431","patient FALSE .",2,25.3840752982391,13.9393023984416,28.6940293079304,1
"2431","patient FALSE .",3,34.5678212664314,7.20122088474478,35.8676896951238,1
"2431","patient FALSE .",4,35.1039420189636,6.61029916298062,32.6983301118041,1
"2431","patient TRUE .",1,29.3584341130531,8.22502590320178,27.1853408144141,1
"2431","patient TRUE .",2,28.4962171659072,6.28643374519714,29.1474123628872,1
"2431","patient TRUE .",3,32.633594885081,5.91863567602675,33.635742753635,1
