"N_0"	"N_0.25"	"N_0.5"	"N_1"	"N_2"	"N_4"	"N_8"	"N_Inf"
5.25033437652589	4.92043594141388	4.55477214140456	3.84114571182034	3.01686225435768	2.50904315253426	2.22794157824534	1.95469569570464
4.61783958908875	4.13822804048436	3.62106511826392	2.75131640854272	1.99801056576323	1.64443788573132	1.50970136667988	1.39563777180825
3.81153946684982	3.28906317919184	2.77178828944951	1.94868527016526	1.18254521692661	0.834408807009675	0.715472890341621	0.626034717100048
5.5126623235059	5.1904681084149	4.82612147034863	4.09942296114506	3.24719182331636	2.73850006628961	2.48040604667881	2.19617760156725
4.81888946805446	4.33686906417347	3.78884436243604	2.78009393765708	1.83877028958991	1.38432307617771	1.19669940077494	1.04722682143178
5.08975449854885	4.74940668158815	4.4092678486559	3.85111814151057	3.24512365440722	2.74378933434671	2.43463762847277	2.13831292522892
5.44270987562962	5.12477348234382	4.7640353810251	4.01305361333754	3.01785554779685	2.39326505237985	2.10067440887908	1.840773096825
4.56866179117157	4.11436716524703	3.63904699183511	2.87040578899037	2.22442801472632	1.89087279728465	1.7178082380778	1.52351270397653
4.93533687004603	4.48395693394838	3.98363345970261	3.12475428456918	2.41523459235409	2.03425103163287	1.79983686259705	1.57693857809288
4.82665235797564	4.45955022024595	4.09745370639325	3.51142905017613	2.87437202204142	2.35749734566025	2.05568999410493	1.79927297156054
5.25871858193475	4.92379575390255	4.5689549117724	3.9353296448576	3.21520845991	2.63687911907966	2.29542415976785	2.00895968439784
5.62957065095625	5.34099741643582	5.00338513358993	4.22454798892553	2.95186783677951	2.14227446980697	1.83866917066568	1.60872532538656
4.89145753626693	4.50629292958184	4.09601544176067	3.32414034692657	2.33073253228026	1.70475886166139	1.46377719221536	1.28073574143186
4.93657603870457	4.43454059319076	3.82618384829342	2.69833464070607	1.8937842678621	1.60978747371186	1.47263901561924	1.30122263115579
4.59643212004481	4.12723619159083	3.63814165142042	2.84433685895563	2.13046251888831	1.74306643309837	1.56303531305154	1.38068584432325
5.5079500558343	5.22145775574155	4.9092665698332	4.29342397839651	3.46884076973837	2.82745481904158	2.4657748669812	2.15817228497819
4.72977434921262	4.32614170939363	3.90614009016461	3.16926496827858	2.36874047930296	1.91176015071522	1.72499512772488	1.53917428788379
