"feature","Sample.type","age.quant","mean","sd","median","incidence"
"Selenomonadales","patient","(8.71,15.3]",0.0079997699562917,0.00934272754558281,0.00714285714285714,0.5
"Selenomonadales","patient","(15.3,26.4]",0.00411413175625148,0.00615718959927588,0.00151336808474861,1
"Unclassified_Bacteria","control","[3.18,6.27]",0.0314960447813166,0.0129601650995465,0.035154272057805,1
"Unclassified_Bacteria","control","(6.27,8.71]",0.0141342194315504,0.00318256969742629,0.0141342194315504,1
"Unclassified_Bacteria","control","(8.71,15.3]",0.00880419807372049,0.00689834054537639,0.00490196078431373,1
"Unclassified_Bacteria","control","(15.3,26.4]",0.00865031060887799,0.00408969259154771,0.00696702275894101,1
"Unclassified_Bacteria","patient","[3.18,6.27]",0.025424628554059,0.0434219442941227,0.00488576065554827,1
"Unclassified_Bacteria","patient","(6.27,8.71]",0.00611196490949971,0.00799537505942842,0.00242081178629877,1
"Unclassified_Bacteria","patient","(8.71,15.3]",0.00495863592987439,0.00346040408263912,0.00589941471689163,0.75
"Unclassified_Bacteria","patient","(15.3,26.4]",0.00436455313246282,0.00414504369501625,0.00365755377843903,1
"Burkholderiales","control","[3.18,6.27]",0.00241570775459067,0.00212642852962133,0.00224074193405181,0.75
"Burkholderiales","control","(6.27,8.71]",0.0008058017727639,0.00113957579562699,0.0008058017727639,0.5
"Burkholderiales","control","(8.71,15.3]",0.018842218238984,0.0430498561292504,0.00219185146982981,1
"Burkholderiales","control","(15.3,26.4]",0.0142287482318892,0.0148972703985212,0.0099594570773841,0.8
"Burkholderiales","patient","[3.18,6.27]",0.0190142892678923,0.026905302551743,0.00910924824659139,0.75
"Burkholderiales","patient","(6.27,8.71]",0.00299600285873436,0.00466019677926684,9.7843417930244e-05,0.666666666666667
"Burkholderiales","patient","(8.71,15.3]",0.002576692391864,0.00241034846313709,0.00257689525071672,0.75
"Burkholderiales","patient","(15.3,26.4]",0.0116025750789134,0.0138354852881952,0.00744724865535788,0.888888888888889
"Bifidobacteriales","control","[3.18,6.27]",0.0519811893766454,0.0921767793569967,0.00872581004586476,1
"Bifidobacteriales","control","(6.27,8.71]",0.00620713266977638,0.00118103923420027,0.00620713266977638,1
"Bifidobacteriales","control","(8.71,15.3]",0.00216284887440203,0.00203512526325039,0.0015857694429123,1
"Bifidobacteriales","control","(15.3,26.4]",0.00712529695674992,0.0152286322031233,0,0.4
"Bifidobacteriales","patient","[3.18,6.27]",0.00102933964139638,0.00150840244841115,0.000425313028899267,0.75
"Bifidobacteriales","patient","(6.27,8.71]",0.000440331791177601,0.000669136529855581,2.52372299616394e-05,0.5
"Bifidobacteriales","patient","(8.71,15.3]",0.00778934442072581,0.0100008962648841,0.00511170011359334,0.5
"Bifidobacteriales","patient","(15.3,26.4]",0.000363340006301676,0.00037492460254376,0.000336304018833025,0.777777777777778
"Verrucomicrobiales","control","[3.18,6.27]",0.00572308714907277,0.00824947076645511,0.00269929818247256,0.5
"Verrucomicrobiales","control","(6.27,8.71]",0.00453570874616488,0.0060346022252583,0.00453570874616488,1
"Verrucomicrobiales","control","(8.71,15.3]",0.00429718401781289,0.00841819391127578,0,0.428571428571429
"Verrucomicrobiales","control","(15.3,26.4]",0,0,0,0
"Verrucomicrobiales","patient","[3.18,6.27]",0.000417837878902986,0.000835675757805971,0,0.25
"Verrucomicrobiales","patient","(6.27,8.71]",0.00577916426057273,0.0111647617730985,4.42634560906516e-05,0.5
"Verrucomicrobiales","patient","(8.71,15.3]",0.0515903303768422,0.083609097201423,0.0155800166313013,0.75
"Verrucomicrobiales","patient","(15.3,26.4]",1.07853922647167e-05,3.235617679415e-05,0,0.111111111111111
"Unclassified_Firmicutes","control","[3.18,6.27]",0.0173333491871091,0.0191102399637637,0.0114033833068687,1
"Unclassified_Firmicutes","control","(6.27,8.71]",0.00516997026477965,0.00389271467863604,0.00516997026477965,1
"Unclassified_Firmicutes","control","(8.71,15.3]",0.00439865490613591,0.0037057041102592,0.00272518646012622,1
"Unclassified_Firmicutes","control","(15.3,26.4]",0.00851723577939137,0.00962015424559417,0.00405143561740356,1
"Unclassified_Firmicutes","patient","[3.18,6.27]",0.000580242207975808,0.000626029819238106,0.000438764443301005,0.75
"Unclassified_Firmicutes","patient","(6.27,8.71]",0.000540268165052551,0.000309779772852885,0.000637580731881849,0.833333333333333
"Unclassified_Firmicutes","patient","(8.71,15.3]",0.00548866950081648,0.00569243072368711,0.00435106107660455,0.75
"Unclassified_Firmicutes","patient","(15.3,26.4]",0.00314897351060459,0.00311607295588497,0.00196099793005774,1
"Rhizobiales","control","[3.18,6.27]",0.00883840520194897,0.00792101262961864,0.00790237025420023,1
"Rhizobiales","control","(6.27,8.71]",0,0,0,0
"Rhizobiales","control","(8.71,15.3]",0.00456143108719928,0.00406411721122754,0.00404944586530264,1
"Rhizobiales","control","(15.3,26.4]",0.00815942998793435,0.00584919771750178,0.00882489549465862,1
"Rhizobiales","patient","[3.18,6.27]",0.000551016189373593,0.00091218646285732,0.000150738619234248,0.5
"Rhizobiales","patient","(6.27,8.71]",0.000191808309726157,0.0004698324872548,0,0.166666666666667
"Rhizobiales","patient","(8.71,15.3]",0.00316838824897367,0.00584283321596154,0.000378644452858766,0.5
"Rhizobiales","patient","(15.3,26.4]",0.00283160495812684,0.00275788752305051,0.00215169445938677,0.888888888888889
