"feature","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","i.baseMean","baseVar","allZero","dispGeneEst","dispGeneIter","dispFit","dispersion","dispIter","dispOutlier","dispMAP","Intercept","visit","SE_Intercept","SE_visit","WaldStatistic_Intercept","WaldStatistic_visit","WaldPvalue_Intercept","WaldPvalue_visit","betaConv","betaIter","deviance","maxCooks","replace"
"Prevotella.Otu1319",6.62430297856297,-2.72922310891012,1.08336457205798,-2.5192102264574,0.0117618408570755,0.076797902066787,6.62430297856297,993.37564444826,FALSE,54.9486506797155,11,17.4683535423331,46.6904773304103,9,FALSE,46.6904773304103,7.75931684313264,-2.72922310891012,2.71012913038943,1.08336457205798,2.86308012268687,-2.5192102264574,0.0041954445731448,0.0117618408570755,TRUE,100,115.918827256331,NA,TRUE
"Alistipes.Otu1466",52.5128608453622,-1.22011122839091,0.497489122682101,-2.45253850338065,0.0141852197357227,0.0874755217036232,52.5128608453622,16520.3356797399,FALSE,10.0751111809077,10,8.57443117728072,10.0054941467594,9,FALSE,10.0054941467594,7.88307008354942,-1.22011122839091,1.25117955531748,0.497489122682101,6.30051062618996,-2.45253850338065,2.96666671222648e-10,0.0141852197357227,TRUE,100,416.690897968197,NA,TRUE
"Lachnospiraceae.Otu2076",10.8020849811425,0.989916658844661,0.409567331275766,2.41698149059193,0.0156498129035735,0.087979869828717,10.8020849811425,382.598705815194,FALSE,6.41817894972606,8,11.6445170142831,6.58610728143243,11,FALSE,6.58610728143243,0.840627881100048,0.989916658844661,1.0428290842745,0.409567331275766,0.806103218424214,2.41698149059193,0.420183336002581,0.0156498129035735,TRUE,13,345.843839525637,NA,FALSE
"Roseburia.Otu1051",35.9213602132535,0.586602753857716,0.243171552603281,2.41230007201838,0.015852228797967,0.087979869828717,35.9213602132535,3625.17927308578,FALSE,2.26805761323994,12,12.3688386433887,2.35583543383146,12,FALSE,2.35583543383146,3.67030110261993,0.586602753857716,0.61579733891392,0.243171552603281,5.96024190213817,2.41230007201838,2.5186481275878e-09,0.015852228797967,TRUE,7,572.96378941228,NA,FALSE
"Parabacteroides.Otu1736",99.0931476851639,-1.17887698200599,0.494361460452809,-2.38464580334842,0.0170955720990642,0.0903623096664824,99.0931476851639,212640.236882463,FALSE,9.98321229896055,13,7.99636689947289,9.9136798783341,9,FALSE,9.9136798783341,8.83861967484396,-1.17887698200599,1.24427647466595,0.494361460452809,7.10342102804513,-2.38464580334842,1.21705906467758e-12,0.0170955720990642,TRUE,100,449.215011534421,NA,TRUE
"Lachnospiraceae.Otu2512",15.460160348955,0.792930510860429,0.34236661880582,2.31602751934807,0.0205567661796247,0.0991527737019117,15.460160348955,1317.89611185523,FALSE,4.54151652775434,11,9.14944615930746,4.63781802579655,10,FALSE,4.63781802579655,1.97533740256195,0.792930510860429,0.869222040746058,0.34236661880582,2.27253487597542,2.31602751934807,0.0230542240000739,0.0205567661796247,TRUE,14,409.152833948507,NA,TRUE
"Bacteroides.Otu1201",41.4326481132001,-0.78902152496273,0.343133977947481,-2.29945611822649,0.0214790524414178,0.0991527737019117,41.4326481132001,4993.21576398035,FALSE,4.63045310486902,10,10.7498377462172,4.74347111881215,8,FALSE,4.74347111881215,6.8919493733611,-0.78902152496273,0.863112068146218,0.343133977947481,7.98499943137574,-2.29945611822649,1.40522953597491e-15,0.0214790524414178,TRUE,20,519.612904148861,NA,TRUE
"Roseburia.Otu2728",6.84977368430967,0.791934407666681,0.34622274655745,2.28735522302049,0.022175097616286,0.0991527737019117,6.84977368430967,179.096061588137,FALSE,4.35617416682874,12,17.1798311090066,4.58400484383414,11,FALSE,4.58400484383414,0.774268065815448,0.791934407666681,0.887273328583335,0.34622274655745,0.872637597539062,2.28735522302049,0.382860640752352,0.022175097616286,TRUE,10,331.677345851336,NA,TRUE
"Turicibacter.Otu0468",4.01889884575664,-1.09099205872792,0.479572702512514,-2.27492526787313,0.0229104132750315,0.0991527737019117,4.01889884575664,194.616144903686,FALSE,8.30278377269682,12,19.894159582659,8.71072241691382,8,FALSE,8.71072241691382,4.01334983881797,-1.09099205872792,1.19156502026674,0.479572702512514,3.36813331254013,-2.27492526787313,0.00075678992809109,0.0229104132750315,TRUE,10,218.1994696051,NA,TRUE
"Gemmiger.Otu0907",8.84369568823939,-0.854112118533851,0.376308345722995,-2.2697134630189,0.0232249740202676,0.0991527737019117,8.84369568823939,322.597501338701,FALSE,5.32856389793375,12,13.9342065853038,5.5324689139599,11,FALSE,5.5324689139599,4.79583834251379,-0.854112118533851,0.94226860958568,0.376308345722995,5.0896721950894,-2.2697134630189,3.58683020392684e-07,0.0232249740202676,TRUE,11,338.458169734387,NA,TRUE
"Bacteroides.Otu2460",16.1068805852276,-0.732744081806652,0.328451722070475,-2.23090345572744,0.0256875247888715,0.105604268576472,16.1068805852276,1344.58532894633,FALSE,4.183850022341,9,8.90540226559643,4.27666495499855,11,FALSE,4.27666495499855,5.4492617781358,-0.732744081806652,0.824821257864735,0.328451722070475,6.60659715808324,-2.23090345572744,3.93254219016877e-11,0.0256875247888715,TRUE,10,418.261557612608,NA,FALSE
