"Bacteroides.Otu0001"	"Bacteroides.Otu2520"	"Parabacteroides.Otu1736"	"Faecalibacterium.Otu0067"	"Lactobacillus.Otu1332"	"Bacteroides.Otu2038"	"Enterococcus.Otu1019"	"Bacteroides.Otu0863"	"Bacteroides.Otu2654"	"Bacteroides.Otu0848"	"Prevotella.Otu1987"	"Bacteroides.Otu0929"	"Bacteroides.Otu2065"	"Bacteroides.Otu2431"	"Bacteroides.Otu2625"	"Prevotella.Otu1633"	"Erysipelotrichaceae_incertae_sedis.Otu0818"	"Bacteroides.Otu0069"	"Bacteroides.Otu1201"	"Clostridium_XI.Otu1804"	"Alistipes.Otu2508"	"Bacteroides.Otu0661"	"Bacteroides.Otu0786"	"Bacteroides.Otu2765"	"Bacteroides.Otu0006"	"Escherichia_Shigella.Otu2393"	"Alistipes.Otu1466"	"Blautia.Otu2475"	"Faecalibacterium.Otu0751"	"Bacteroides.Otu0480"	"Bacteroides.Otu2343"	"Akkermansia.Otu1935"	"Megamonas.Otu2657"	"Bacteroides.Otu2437"	"Bacteroides.Otu2104"	"Lachnospiracea_incertae_sedis.Otu0651"	"Prevotella.Otu2602"	"Bacteroides.Otu2216"	"Lactobacillales.Otu0504"	"Prevotella.Otu1994"	"Lachnospiracea_incertae_sedis.Otu0778"	"Clostridium_XI.Otu2681"	"Bacteroides.Otu0877"	"Prevotella.Otu1803"	"Bacteroides.Otu2375"	"Roseburia.Otu1051"	"Bacteroides.Otu1624"	"Sutterella.Otu0171"	"Prevotella.Otu2501"	"Prevotella.Otu1319"	"Bacteroidales.Otu0696"	"Bacteroides.Otu2120"	"Lachnospiraceae.Otu2512"	"Sutterella.Otu1997"	"Roseburia.Otu2728"	"Lachnospiraceae.Otu2222"	"Clostridium_XlVa.Otu0236"	"Blautia.Otu2495"	"Bacteroides.Otu2460"	"Clostridiales.Otu1597"	"Bacteroidales.Otu1168"	"Bacteria.Otu0435"	"Lachnospiracea_incertae_sedis.Otu0113"	"Parabacteroides.Otu1378"	"Lachnospiraceae.Otu2599"	"Lachnospiracea_incertae_sedis.Otu1990"	"Dorea.Otu1142"	"Bacteroides.Otu2069"	"Gemmiger.Otu0907"	"Bacteroides.Otu1976"	"Bacteroides.Otu2416"	"Burkholderiales.Otu0023"	"Lachnospiracea_incertae_sedis.Otu2746"	"Prevotella.Otu2666"	"Lachnospiraceae.Otu0898"	"Bacteroides.Otu1669"	"Lachnospiraceae.Otu0790"	"Bacteroides.Otu2482"	"Roseburia.Otu2084"	"Prevotella.Otu1563"	"Bacteroides.Otu0775"	"Parabacteroides.Otu1107"	"Prevotella.Otu0882"	"Turicibacter.Otu0468"	"Prevotella.Otu0634"	"Prevotella.Otu2327"	"Bacteroides.Otu1854"	"Bacteroides.Otu0312"	"Prevotella.Otu0773"	"Lachnospiraceae.Otu1734"	"Bacteroides.Otu0752"	"Bacteroides.Otu2383"	"Bacteroides.Otu0763"	"Bacteroides.Otu1411"	"Blautia.Otu0620"	"Bacteroides.Otu1260"	"Prevotella.Otu2227"	"Bacteroides.Otu1565"	"Bacteroides.Otu2534"	"Bacteroides.Otu1800"	"Bacteroides.Otu2566"	"other"
1332	38	0	45	0	4	1	75	201	126	0	0	0	0	0	0	0	154	0	0	0	0	0	114	41	0	0	0	5	0	0	2	0	0	71	0	0	0	0	0	0	0	8	0	7	1	0	0	0	0	0	26	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1	3	0	0	1	0	0	216
6301	167	0	94	1	183	0	0	198	37	1	998	0	290	33	0	12	620	17	66	217	775	572	27	451	0	2715	27	30	0	383	0	0	0	23	0	0	1	1	0	20	2	9	0	109	2	0	0	0	0	0	190	1	0	0	5	12	5	28	0	17	0	4	0	2	127	3	139	0	0	149	1004	67	0	3	5	48	0	30	0	14	0	0	1	0	0	1	1	0	7	26	104	47	2	3	44	0	0	34	2	10	1445
3611	1484	323	986	0	7	0	86	46	1145	1	404	7	727	7	0	5	495	96	13	282	473	48	555	281	0	51	140	174	0	49	0	0	380	244	55	0	34	0	0	16	5	88	0	89	74	8	309	0	0	0	132	361	0	162	48	38	0	1	0	2	0	144	47	13	0	5	23	199	0	75	0	1	0	13	139	8	89	55	0	119	78	0	0	1	0	36	0	0	3	96	7	119	140	15	39	0	260	1	3	0	2484
270	161	5	87	0	34	0	15	6	31	2853	0	0	4	0	16	0	37	0	33	0	0	77	48	54	1	0	17	33	0	68	0	0	0	44	10	970	0	0	0	32	0	0	811	6	10	0	0	18	721	194	32	62	0	2	2	8	1	0	336	4	0	17	0	5	8	15	52	4	0	10	0	4	3	0	12	4	0	3	3	1	1	28	0	2	368	2	0	394	2	4	0	3	0	7	1	225	0	0	0	0	1927
142	0	40	113	0	760	3	43	2	349	0	72	0	83	0	1	2	4	2	10	0	82	0	145	63	0	0	3	19	0	0	16	0	0	67	0	0	0	0	0	1	1	4	0	16	6	0	0	0	0	0	0	0	0	0	0	6	1	6	10	0	0	8	0	7	1	0	0	0	0	0	0	0	0	4	0	1	42	2	0	0	0	0	0	0	0	0	51	0	2	1	7	2	0	1	7	0	0	0	0	0	489
0	0	0	58	0	0	0	153	1	1	0	803	0	407	0	0	5	0	746	15	0	241	0	0	0	3	13	41	13	0	0	0	0	2	7	39	0	0	0	0	4	8	0	0	0	36	437	0	0	0	0	0	1	0	0	16	28	6	39	0	0	0	6	0	4	0	3	0	0	0	0	0	0	0	10	0	22	0	3	0	36	0	0	0	0	0	0	0	0	6	5	10	0	1	1	0	0	0	0	16	0	396
1285	30	74	298	0	243	0	34	177	83	1028	23	0	148	11	441	18	114	51	0	7	9	0	92	226	0	32	5	42	1	0	1	0	89	42	0	163	0	0	134	0	0	1	132	51	0	0	242	236	86	7	10	1	50	0	0	52	2	0	0	6	0	0	81	0	0	0	1	1	0	5	0	0	576	4	12	0	1	0	52	60	308	81	0	68	11	0	0	68	2	20	1	1	9	1	2	21	0	0	1	0	3138
0	0	0	912	0	0	0	0	0	0	0	1	0	2	0	1	2	0	4	13	0	1	0	0	0	0	0	41	118	0	0	0	0	0	0	306	0	0	0	0	23	0	0	0	0	81	0	0	0	0	0	0	16	0	40	59	15	4	0	0	0	0	68	0	10	5	4	0	0	0	0	0	9	0	72	0	14	0	5	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1394
510	120	15	87	0	52	0	66	13	46	110	52	0	15	58	3	0	46	121	11	52	15	0	53	34	0	0	1	24	2	0	0	0	2	20	0	14	0	0	169	0	0	3	11	1	0	0	0	0	10	1	34	0	152	0	0	1	0	19	0	135	0	0	95	0	0	0	0	5	0	4	0	0	0	0	9	0	0	0	23	0	0	49	0	6	3	0	0	1	0	12	2	6	0	0	4	4	1	0	0	0	326
270	1882	0	33	0	2069	1	1624	25	43	0	766	0	351	21	0	4	9	217	4	58	634	36	17	244	1	421	31	0	0	27	0	0	0	1	4	0	0	0	0	306	0	57	0	109	8	5	0	0	0	0	0	0	0	0	0	32	19	15	0	0	0	4	0	4	1	5	6	180	0	1	0	1	0	6	70	25	62	66	0	2	0	0	0	0	0	1	155	0	3	10	110	24	1	12	16	0	0	0	0	0	1621
85	137	0	75	0	88	2	0	11	5	0	28	0	135	70	0	0	7	9	0	74	29	49	0	4	0	0	2	30	0	28	0	507	204	0	0	0	0	2	0	8	0	103	0	59	1	0	100	0	0	0	0	0	0	0	0	3	0	24	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	47	0	0	19	0	0	0	2	0	10	3	0	0	1	1	1	4	0	20	0	3	0	0	0	435
90	62	296	31	0	0	0	91	2	44	0	19	0	61	0	0	1	9	14	11	102	8	21	54	2	0	4	36	3	105	4	6	0	27	22	3	0	0	0	0	5	5	3	0	1	4	0	45	0	0	0	0	6	0	5	0	4	149	1	0	0	0	13	9	1	1	11	10	1	0	0	0	7	0	1	2	6	2	7	0	0	0	0	1	13	0	0	0	0	1	1	1	0	3	1	2	0	3	0	0	0	971
0	6057	0	450	2	0	0	339	19	86	0	0	0	16	66	0	8	0	139	9	0	0	0	101	0	0	0	10	200	0	0	16	0	6	126	26	0	0	0	0	30	0	305	0	0	37	0	0	0	0	0	0	5	0	3	27	154	0	7	633	0	1055	7	0	39	0	10	0	0	0	0	0	1	0	78	142	110	0	12	0	0	0	0	0	0	0	384	0	0	25	0	0	1	0	2	2	0	4	0	0	0	2414
