"feature","Sample.type","age.quant","mean","sd","median","incidence"
"Lachnospiracea_incertae_sedis.Otu2746","control","(15.3,26.4]",0.00275013670428414,0.00194821188059056,0.00263198637559994,1
"Lachnospiracea_incertae_sedis.Otu2746","patient","[3.18,6.27]",1.89926308592266e-05,3.79852617184532e-05,0,0.25
"Lachnospiracea_incertae_sedis.Otu2746","patient","(6.27,8.71]",3.15793053379768e-05,4.90799010691095e-05,0,0.333333333333333
"Lachnospiracea_incertae_sedis.Otu2746","patient","(8.71,15.3]",0.000223214285714286,0.000446428571428571,0,0.25
"Lachnospiracea_incertae_sedis.Otu2746","patient","(15.3,26.4]",0.00129122272558545,0.00253382678747761,6.07053967097675e-05,0.555555555555556
"Bifidobacterium.Otu1244","control","[3.18,6.27]",0.0454973771441444,0.0897555381920736,0.000932642487046632,0.5
"Bifidobacterium.Otu1244","control","(6.27,8.71]",0.00013430029546065,0.000189929299271165,0.00013430029546065,0.5
"Bifidobacterium.Otu1244","control","(8.71,15.3]",0.00011748251231048,0.000151119789039054,0,0.428571428571429
"Bifidobacterium.Otu1244","control","(15.3,26.4]",0.000580709421918493,0.00125144483827716,0,0.4
"Bifidobacterium.Otu1244","patient","[3.18,6.27]",0,0,0,0
"Bifidobacterium.Otu1244","patient","(6.27,8.71]",0,0,0,0
"Bifidobacterium.Otu1244","patient","(8.71,15.3]",0.00216305978862981,0.00411421429144814,0.000161030595813205,0.5
"Bifidobacterium.Otu1244","patient","(15.3,26.4]",0,0,0,0
"Lachnospiracea_incertae_sedis.Otu2549","control","[3.18,6.27]",0.00228333460140519,0.00166154348562647,0.00259775728571193,0.75
"Lachnospiracea_incertae_sedis.Otu2549","control","(6.27,8.71]",0.015625,0.0220970869120796,0.015625,0.5
"Lachnospiracea_incertae_sedis.Otu2549","control","(8.71,15.3]",0.00142942719737195,0.00113164486035638,0.000860585197934596,1
"Lachnospiracea_incertae_sedis.Otu2549","control","(15.3,26.4]",0.00196821756326571,0.00175590069477677,0.00221408498680065,1
"Lachnospiracea_incertae_sedis.Otu2549","patient","[3.18,6.27]",1.89926308592266e-05,3.79852617184532e-05,0,0.25
"Lachnospiracea_incertae_sedis.Otu2549","patient","(6.27,8.71]",0.000263295348887789,0.000623506116104093,0,0.333333333333333
"Lachnospiracea_incertae_sedis.Otu2549","patient","(8.71,15.3]",0.000567966679288148,0.0011359333585763,0,0.25
"Lachnospiracea_incertae_sedis.Otu2549","patient","(15.3,26.4]",0.0010808693293216,0.00211757016902199,0.000259762750021647,0.666666666666667
"Ruminococcus.Otu0422","control","[3.18,6.27]",0.0102573330933957,0.0205146661867914,0,0.25
"Ruminococcus.Otu0422","control","(6.27,8.71]",0.0409615901154983,0.0579284362777053,0.0409615901154983,0.5
"Ruminococcus.Otu0422","control","(8.71,15.3]",0.000938348284620223,0.00160418089484385,0,0.285714285714286
"Ruminococcus.Otu0422","control","(15.3,26.4]",1.41532800226452e-05,3.16476962352245e-05,0,0.2
"Ruminococcus.Otu0422","patient","[3.18,6.27]",0,0,0,0
"Ruminococcus.Otu0422","patient","(6.27,8.71]",0,0,0,0
"Ruminococcus.Otu0422","patient","(8.71,15.3]",0,0,0,0
"Ruminococcus.Otu0422","patient","(15.3,26.4]",0,0,0,0
"Blautia.Otu2475","control","[3.18,6.27]",0.0578585444959932,0.0898828536002438,0.0179722536389243,1
"Blautia.Otu2475","control","(6.27,8.71]",0.00542728064600334,0.00539618230512895,0.00542728064600334,1
"Blautia.Otu2475","control","(8.71,15.3]",0.00631972987862256,0.00390173643116374,0.00567302733367715,1
"Blautia.Otu2475","control","(15.3,26.4]",0.0104482343265047,0.00590238475779296,0.0108375909583527,1
"Blautia.Otu2475","patient","[3.18,6.27]",0.00430535233748399,0.0050523137612172,0.0027916705249325,1
"Blautia.Otu2475","patient","(6.27,8.71]",0.00337150932799892,0.00420109488314232,0.00124225709554525,0.833333333333333
"Blautia.Otu2475","patient","(8.71,15.3]",0.007157407587061,0.0126631833347563,0.00125158155049459,0.75
"Blautia.Otu2475","patient","(15.3,26.4]",0.00947114677821001,0.0123023347850834,0.00463022508038585,1
"Prevotella.Otu1987","control","[3.18,6.27]",0.0193264248704663,0.0386528497409326,0,0.25
"Prevotella.Otu1987","control","(6.27,8.71]",0,0,0,0
"Prevotella.Otu1987","control","(8.71,15.3]",0.0419687652900649,0.111006614491695,0,0.285714285714286
"Prevotella.Otu1987","control","(15.3,26.4]",0.133776821709345,0.141004264069851,0.136163466619694,0.6
"Prevotella.Otu1987","patient","[3.18,6.27]",0.0104642313546423,0.0209284627092846,0,0.25
"Prevotella.Otu1987","patient","(6.27,8.71]",0,0,0,0
"Prevotella.Otu1987","patient","(8.71,15.3]",0.000378644452858766,0.000757288905717531,0,0.25
"Prevotella.Otu1987","patient","(15.3,26.4]",0.0750288325812588,0.154011398206967,0,0.444444444444444
"Blautia.Otu0591","control","[3.18,6.27]",0.00548336927827235,0.00334061675733083,0.00638082271901091,1
"Blautia.Otu0591","control","(6.27,8.71]",0.000928811858526934,0.00055382113013709,0.000928811858526934,1
"Blautia.Otu0591","control","(8.71,15.3]",0.00100104538308841,0.000709881850426973,0.00124542124542125,0.857142857142857
"Blautia.Otu0591","control","(15.3,26.4]",0.00136359781842615,0.000584111094783262,0.00158534437202748,1
"Blautia.Otu0591","patient","[3.18,6.27]",0.000819550717615641,0.000218555809779044,0.000832733361507918,1
"Blautia.Otu0591","patient","(6.27,8.71]",0.000589596418376153,0.000694435299885299,0.000334907697469188,0.666666666666667
"Blautia.Otu0591","patient","(8.71,15.3]",0.00167560840724827,0.00293753721435183,0.000322061191626409,0.5
"Blautia.Otu0591","patient","(15.3,26.4]",0.00143446855358466,0.00255051183291475,0.000504456028249538,0.666666666666667
"Lachnospiraceae.Otu0220","control","[3.18,6.27]",0.00359213587835427,0.00544030617692784,0.00133579236135133,0.75
"Lachnospiraceae.Otu0220","control","(6.27,8.71]",0.0246185682453572,0.0249395895366912,0.0246185682453572,1
"Lachnospiraceae.Otu0220","control","(8.71,15.3]",0.00448444678892415,0.00206633266830396,0.00461538461538462,1
"Lachnospiraceae.Otu0220","control","(15.3,26.4]",0.00331012398322884,0.00265459463191082,0.00457988374141272,1
"Lachnospiraceae.Otu0220","patient","[3.18,6.27]",0.00154110441282775,0.00180059511205581,0.0013728720483251,0.5
"Lachnospiraceae.Otu0220","patient","(6.27,8.71]",0.00363502112319495,0.00819286738316898,0.000372347445591964,0.666666666666667
"Lachnospiraceae.Otu0220","patient","(8.71,15.3]",0.0013306822124299,0.00197794004609805,0.000567966679288148,0.5
"Lachnospiraceae.Otu0220","patient","(15.3,26.4]",0.00227572713733793,0.00450511172132452,0.000303526983548838,0.666666666666667
"Prevotella.Otu1994","control","[3.18,6.27]",0.0546632124352332,0.109326424870466,0,0.25
"Prevotella.Otu1994","control","(6.27,8.71]",0,0,0,0
"Prevotella.Otu1994","control","(8.71,15.3]",0.0123959331024829,0.032796556257763,0,0.142857142857143
"Prevotella.Otu1994","control","(15.3,26.4]",0.0341663074171247,0.060081744336804,0,0.4
"Prevotella.Otu1994","patient","[3.18,6.27]",0.0160768645357686,0.0321537290715373,0,0.25
"Prevotella.Otu1994","patient","(6.27,8.71]",0,0,0,0
"Prevotella.Otu1994","patient","(8.71,15.3]",0,0,0,0
"Prevotella.Otu1994","patient","(15.3,26.4]",0.00144524256347203,0.0043357276904161,0,0.111111111111111
"Lachnospiraceae.Otu0875","control","[3.18,6.27]",0.000771025043496148,0.000586475680236878,0.000718610295327765,1
