"feature","DietStatus","mean","sd","median","incidence"
"3105","after.diet",147.642236301732,64.710395046975,160.901134558884,1
"3105","before.diet",167.509905163167,38.663835335734,169.700005793918,1
"3223","after.diet",149.833356527212,65.7343253383108,163.234173892808,1
"3223","before.diet",163.164616425837,35.9234720229059,168.283010377244,1
"3317","after.diet",148.303587211729,69.2125101118672,157.321151900535,1
"3317","before.diet",164.985329387201,36.3831177472099,170.161248839753,1
"3571.34482758621","after.diet",152.705198849219,71.4085566427829,162.138613336915,1
"3571.34482758621","before.diet",175.481879365202,36.5934207756397,179.359692538478,1
"3642","after.diet",153.897341802256,72.0035767847786,163.445962290848,1
"3642","before.diet",176.813634357301,36.9120202291235,180.755845799664,1
"4463.93103448276","after.diet",166.667955265321,78.3783803232369,177.522197474276,1
"4463.93103448276","before.diet",198.050310880615,39.2439494469713,198.175271185928,1
"5208","after.diet",176.897236163908,83.4802415694446,188.893859663189,1
"5208","before.diet",209.82182623593,42.0447903158958,210.040677563441,1
"5356.51724137931","after.diet",198.35463284693,61.067110701559,197.959892066676,1
"5356.51724137931","before.diet",212.032664965381,42.5797133430482,212.269145891807,1
"6174","after.diet",209.378013790783,64.8608607924798,208.660851769178,1
"6174","before.diet",223.434688555039,45.3891721706282,223.746343886852,1
"6249.10344827586","after.diet",219.799228222166,62.7390225905727,212.574113852729,1
"6249.10344827586","before.diet",224.426495221173,45.637825150349,224.742700966029,1
"7141.68965517241","after.diet",231.088619655485,66.4879310495728,223.427665668816,1
"7141.68965517241","before.diet",235.637263932791,48.50012665608,235.969604198614,1
"8034.27586206897","after.diet",241.409937983914,69.9319966718197,233.339192861688,1
"8034.27586206897","before.diet",245.895384197253,51.2075961676251,246.166872821176,1
"8839","after.diet",250.056854404001,72.8333867253724,241.630356324605,1
"8839","before.diet",254.497478996809,53.5471146556092,254.645932830156,1
"8926.86206896552","after.diet",238.07968309201,68.4880261883264,238.566330064518,1
"8926.86206896552","before.diet",255.404802833011,53.7976551130219,255.535979875799,1
"9179","after.diet",240.543893755661,69.3720147390765,240.956729880256,1
"9179","before.diet",257.969772136664,54.5098590890282,258.04742935647,1
"9819.44827586207","after.diet",246.599102699804,71.5492676664445,246.831514387476,1
"9819.44827586207","before.diet",248.511838046016,45.7858077908915,263.56805689001,1
"10218","after.diet",250.238129658074,72.8606279044918,250.364532140553,1
"10218","before.diet",251.96178258603,46.5700862306049,267.451451674196,1
"10302","after.diet",241.0013993048,74.6969519309821,247.229969763278,1
"10302","before.diet",252.675870508131,46.7334548465325,268.255637462189,1
"10712.0344827586","after.diet",244.477384321894,76.0700063918036,251.000350066336,1
"10712.0344827586","before.diet",242.997028335837,43.1975535096024,259.408832667932,1
"11549","after.diet",251.306633813404,78.7724232422929,258.420362829284,1
"11549","before.diet",249.154245381795,44.3648651062535,265.779469700189,1
"11604.6206896552","after.diet",251.75165434442,78.9486504495698,258.904481618178,1
"11604.6206896552","before.diet",239.59643584461,48.6571374892933,252.939331264199,1
"11730","after.diet",252.739911975941,79.3400219223423,259.979839880298,1
"11730","before.diet",240.463863198236,48.862796973844,253.783432137019,1
"12497.2068965517","after.diet",256.582176024789,91.1476695282429,263.82118776308,1
"12497.2068965517","before.diet",245.646479081201,50.0956327458775,258.818094401583,1
"13163","after.diet",261.506963020163,93.336615428766,269.557427036664,1
"13163","before.diet",249.964644077343,51.1280062787783,263,1
"13389.7931034483","after.diet",263.147546951086,94.0652402997315,271.468468006629,1
"13389.7931034483","before.diet",244.906968800907,71.0337929643921,244.906968800907,1
"13904","after.diet",266.795387477231,95.6837495835303,275.717097945345,1
"13904","before.diet",248.151019061481,72.1740304452522,248.151019061481,1
"14282.3793103448","after.diet",280.311481240373,108.237053081704,285.576319728093,1
"14282.3793103448","before.diet",250.484483554874,72.9956278777435,250.484483554874,1
"15174.9655172414","after.diet",286.771906410285,111.124346146516,292.30395435013,1
"15174.9655172414","before.diet",255.833489711833,74.883379576198,255.833489711833,1
"16067.5517241379","after.diet",292.97951148341,113.895312123258,298.771452506246,1
"16067.5517241379","before.diet",260.970636201555,76.7020968701356,260.970636201555,1
"16131","after.diet",293.408530645876,114.086699722367,299.218544288481,1
"16131","before.diet",261.325575971414,76.8279663225041,261.325575971414,1
"16960.1379310345","after.diet",298.951047615352,116.558048905383,304.995734241117,1
"16960.1379310345","before.diet",321.386540932795,NA,321.386540932795,1
"17754","after.diet",304.090334731829,118.848179415765,310.354353982575,1
"17754","before.diet",326.704209597284,NA,326.704209597284,1
"17852.724137931","after.diet",258.311517366866,91.4599736626503,305.252016863059,1
"17852.724137931","before.diet",327.355828168031,NA,327.355828168031,1
"17962","after.diet",258.88664336271,91.7092675387395,306,1
"17962","before.diet",328.070425780028,NA,328.070425780028,1
"18745.3103448276","after.diet",238.785225147167,118.195591535925,238.785225147167,1
"18745.3103448276","before.diet",333.118650179148,NA,333.118650179148,1
"19462","after.diet",241.867820229209,120.02122237719,241.867820229209,1
"19462","before.diet",337.616040968333,NA,337.616040968333,1
"19637.8965517241","after.diet",327.793545630135,NA,327.793545630135,1
"19637.8965517241","before.diet",338.702497501048,NA,338.702497501048,1
"20530.4827586207","after.diet",333.065044124683,NA,333.065044124683,1
"20530.4827586207","before.diet",344.107469106083,NA,344.107469106083,1
"21423.0689655172","after.diet",338.199304134395,NA,338.199304134395,1
"21423.0689655172","before.diet",349.356738901479,NA,349.356738901479,1
"22315.6551724138","after.diet",343.199700680038,NA,343.199700680038,1
"22315.6551724138","before.diet",354.45396197482,NA,354.45396197482,1
"22592","after.diet",344.719389103316,NA,344.719389103316,1
"22592","before.diet",356,NA,356,1
"23208.2413793103","after.diet",348.06895656082,NA,348.06895656082,1
"23208.2413793103","before.diet",NA,NA,NA,NA
"24100.8275862069","after.diet",352.825042353731,NA,352.825042353731,1
"24100.8275862069","before.diet",NA,NA,NA,NA
"24993.4137931034","after.diet",357.463457624584,NA,357.463457624584,1
"24993.4137931034","before.diet",NA,NA,NA,NA
"25886","after.diet",362,NA,362,1
"25886","before.diet",NA,NA,NA,NA
