"Bacteroidales"	"Clostridiales"	"Lactobacillales"	"Erysipelotrichales"	"Selenomonadales"	"Enterobacteriales"	"Burkholderiales"	"Pasteurellales"	"Unclassified_Bacteria"	"Unclassified_Firmicutes"	"Verrucomicrobiales"	"Bifidobacteriales"	"Rhizobiales"	"Fusobacteriales"	"Coriobacteriales"	"Unclassified_Bacilli"	"Unclassified_Proteobacteria"	"Bacillales"	"Campylobacterales"	"Actinomycetales"	"Unclassified_Bacteroidetes"	"Desulfovibrionales"	"Pseudomonadales"	"Unclassified_Clostridia"	"TM7_order_incertae_sedis"	"Unclassified_Alphaproteobacteria"	"Flavobacteriales"	"Unclassified_Gammaproteobacteria"	"Chloroplast_order_incertae_sedis"	"Unclassified_Actinobacteria"	"Unclassified_Betaproteobacteria"	"Sphingomonadales"	"Victivallales"	"Caulobacterales"
0.225358630263767	0.715409532623785	0.001388246182323	0.002776492364646	0.00647848218417399	0.000925497454881999	0.014807959278112	0.00694123091161499	0.001388246182323	0.00786672836649699	0	0	0.012956964368348	0	0	0.002313743637205	0	0.001388246182323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.886987787489926	0.0282065587998264	0.0727791209472444	0.00154981092306739	6.19924369226954e-05	0	0.000867894116917736	0	0.00365755377843903	0.000867894116917736	0	0	0.00427747814766598	0	0.000185977310768086	0	6.19924369226954e-05	6.19924369226954e-05	0	0	0	0.000247969747690782	0.000185977310768086	0	0	0	0	0	0	0	0	0	0	0
0.568017487808979	0.39246678997814	0.0026904321506642	0.0124432486968219	0.00151336808474861	0.0026904321506642	0.00100891205649908	0	0.00470825626366235	0.00218597612241466	0	0.000336304018833025	0.0067260803766605	0	0.000504456028249538	0	0	0.000336304018833025	0.000336304018833025	0.000504456028249538	0	0.00235412813183118	0	0.000840760047082563	0.000336304018833025	0	0	0	0	0	0	0	0	0
0.610748560460653	0.289059500959693	0.00307101727447217	0.00844529750479846	0.0598848368522073	0.000383877159309021	0.0103646833013436	0.000767754318618042	0.00690978886756238	0.000383877159309021	0	0.00115163147792706	0	0	0.00614203454894434	0.000767754318618042	0.000767754318618042	0	0	0	0.000767754318618042	0	0	0.000383877159309021	0	0	0	0	0	0	0	0	0	0
0.281625881377022	0.00165906262961427	0.71049357113231	0.0062214848610535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.866495176848875	0.0812861736334405	0.000643086816720257	0.00244372990353698	0.00205787781350482	0.000257234726688103	0.0369131832797428	0.00115755627009646	0.00385852090032154	0.00090032154340836	0	0.000385852090032154	0.00270096463022508	0	0	0	0.000514469453376206	0	0	0.000128617363344051	0.000257234726688103	0	0	0	0	0	0	0	0	0	0	0	0	0
0.453965612867443	0.500554631170272	0.00776483638380477	0.00138657792567942	0.00970604547975596	0	0	0.00277315585135885	0.00831946755407654	0.0152523571824737	0	0	0	0	0	0	0	0	0	0	0	0	0.000277315585135885	0	0	0	0	0	0	0	0	0	0	0
0.931913116123642	0.0593149540517962	0	0.006265664160401	0	0	0	0	0.00167084377610693	0.000417710944026733	0	0	0	0	0.000417710944026733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.306595768752121	0.62246860504582	0.00814571784138477	0.0340536259757891	0.0132367914922503	0.00486480371082702	0	0	0.00214956443036543	0.00486480371082702	0	0.000339404910057699	0.00169702455028849	0	0.000113134970019233	0.000452539880076932	0.000339404910057699	0.000339404910057699	0	0.000226269940038466	0	0	0	0.000113134970019233	0	0	0	0	0	0	0	0	0	0
0.069060773480663	0.607572310692233	0.00763730906727332	0.0108872278193045	0.00016249593760156	0.0828729281767956	0	0.173870653233669	0.0232369190770231	0.00357491062723432	0	0.0149496262593435	0.00048748781280468	0.00129996750081248	0	0	0.00016249593760156	0.00032499187520312	0	0.00097497562560936	0.0016249593760156	0	0	0	0.00113747156321092	0	0	0.00016249593760156	0	0	0	0	0	0
