".record.id","Sample.type","feature","Abundance"
"SB36","patient","Unclassified_Firmicutes",0
"SB38","patient","Unclassified_Firmicutes",0.000303526983548838
"SB39","patient","Unclassified_Firmicutes",0.00289855072463768
"SB4","patient","Unclassified_Firmicutes",0.000602954476936991
"SB40","control","Unclassified_Firmicutes",0.00142806140664049
"SB41","patient","Unclassified_Firmicutes",0.00084100566572238
"SB42","patient","Unclassified_Firmicutes",0.00144343994530122
"SB43","patient","Unclassified_Firmicutes",0.0005824111822947
"SB44","patient","Unclassified_Firmicutes",0.000274574409665019
"SB45","control","Unclassified_Firmicutes",0.00193900934249956
"SB5","patient","Unclassified_Firmicutes",0.00196099793005774
"SB6","patient","Unclassified_Firmicutes",0.000741564701520208
"SB7","control","Unclassified_Firmicutes",0.00870426721392683
"SB8","patient","Unclassified_Firmicutes",0.00218597612241466
"SB9","patient","Unclassified_Firmicutes",0.0132525558500568
"SB1","control","Lactobacillus",0
"SB10","control","Lactobacillus",0.00136251383803117
"SB11","patient","Lactobacillus",0
"SB12","control","Lactobacillus",0
"SB13","control","Lactobacillus",0
"SB14","control","Lactobacillus",0
"SB15","control","Lactobacillus",0
"SB16","patient","Lactobacillus",0
"SB17","patient","Lactobacillus",0
"SB18","patient","Lactobacillus",0.000619924369226954
"SB19","control","Lactobacillus",0.181257706535142
"SB21","control","Lactobacillus",0
"SB22","patient","Lactobacillus",0
"SB23","patient","Lactobacillus",0
"SB24","control","Lactobacillus",0.000143430866322433
"SB25","control","Lactobacillus",0
"SB26","control","Lactobacillus",0
"SB28","patient","Lactobacillus",0
"SB29","patient","Lactobacillus",0
"SB3","control","Lactobacillus",0
"SB30","patient","Lactobacillus",0
"SB31","control","Lactobacillus",0.000146520146520147
"SB32","control","Lactobacillus",0
"SB33","control","Lactobacillus",0
"SB34","patient","Lactobacillus",0
"SB35","patient","Lactobacillus",0
"SB36","patient","Lactobacillus",0
"SB38","patient","Lactobacillus",0
"SB39","patient","Lactobacillus",0
"SB4","patient","Lactobacillus",0
"SB40","control","Lactobacillus",0
"SB41","patient","Lactobacillus",0
"SB42","patient","Lactobacillus",0.000151941046873813
"SB43","patient","Lactobacillus",0
"SB44","patient","Lactobacillus",0
"SB45","control","Lactobacillus",0
"SB5","patient","Lactobacillus",0.00196099793005774
"SB6","patient","Lactobacillus",0
"SB7","control","Lactobacillus",7.07664001132262e-05
"SB8","patient","Lactobacillus",0
"SB9","patient","Lactobacillus",0.00530102234002272
"SB1","control","Unclassified_Bacteroidales",0.000909297567629007
"SB10","control","Unclassified_Bacteroidales",0.00332112748020097
"SB11","patient","Unclassified_Bacteroidales",0.000446428571428571
"SB12","control","Unclassified_Bacteroidales",0
"SB13","control","Unclassified_Bacteroidales",0
"SB14","control","Unclassified_Bacteroidales",0.00141825683341929
"SB15","control","Unclassified_Bacteroidales",0.000620518477661335
"SB16","patient","Unclassified_Bacteroidales",0.00330988829127017
"SB17","patient","Unclassified_Bacteroidales",0.00218649517684887
"SB18","patient","Unclassified_Bacteroidales",0.0252929142644597
"SB19","control","Unclassified_Bacteroidales",0.00052844812400916
"SB21","control","Unclassified_Bacteroidales",0.00107971927298902
"SB22","patient","Unclassified_Bacteroidales",0.000767754318618042
"SB23","patient","Unclassified_Bacteroidales",0.00201721355567509
"SB24","control","Unclassified_Bacteroidales",0.0172117039586919
"SB25","control","Unclassified_Bacteroidales",0.00170502983802217
"SB26","control","Unclassified_Bacteroidales",0.0013430029546065
"SB28","patient","Unclassified_Bacteroidales",0.00629425649095201
"SB29","patient","Unclassified_Bacteroidales",0.00107991360691145
"SB3","control","Unclassified_Bacteroidales",0
"SB30","patient","Unclassified_Bacteroidales",0.000605693519079346
"SB31","control","Unclassified_Bacteroidales",0.00139194139194139
"SB32","control","Unclassified_Bacteroidales",0.00371574547143521
"SB33","control","Unclassified_Bacteroidales",0.00068910072355576
"SB34","patient","Unclassified_Bacteroidales",0.000173175166681098
"SB35","patient","Unclassified_Bacteroidales",0.00602167804094741
"SB36","patient","Unclassified_Bacteroidales",0.0643074581430746
"SB38","patient","Unclassified_Bacteroidales",0.0050385479269107
"SB39","patient","Unclassified_Bacteroidales",0.00289855072463768
"SB4","patient","Unclassified_Bacteroidales",0.00301477238468496
"SB40","control","Unclassified_Bacteroidales",0.00249910746162085
"SB41","patient","Unclassified_Bacteroidales",0.00362960339943343
"SB42","patient","Unclassified_Bacteroidales",7.59705234369065e-05
"SB43","patient","Unclassified_Bacteroidales",0.0124247718889536
"SB44","patient","Unclassified_Bacteroidales",0.00109829763866008
"SB45","control","Unclassified_Bacteroidales",0.00361360832011282
"SB5","patient","Unclassified_Bacteroidales",0.00119838762392417
"SB6","patient","Unclassified_Bacteroidales",0.00148312940304042
"SB7","control","Unclassified_Bacteroidales",7.07664001132262e-05
"SB8","patient","Unclassified_Bacteroidales",0.00100891205649908
"SB9","patient","Unclassified_Bacteroidales",0.00189322226429383
"SB1","control","Clostridium_XVIII",0.000909297567629007
"SB10","control","Clostridium_XVIII",0.000340628459507792
"SB11","patient","Clostridium_XVIII",0.00178571428571429
"SB12","control","Clostridium_XVIII",0
"SB13","control","Clostridium_XVIII",0.0444542253521127
"SB14","control","Clostridium_XVIII",0.00128932439401753
"SB15","control","Clostridium_XVIII",0.000551571980143409
"SB16","patient","Clostridium_XVIII",0.00165494414563508
"SB17","patient","Clostridium_XVIII",0.00180064308681672
"SB18","patient","Clostridium_XVIII",0.00111586386460852
"SB19","control","Clostridium_XVIII",0.00017614937466972
"SB21","control","Clostridium_XVIII",0.00341911103113191
"SB22","patient","Clostridium_XVIII",0.00499040307101727
"SB23","patient","Clostridium_XVIII",0.0138515330823023
"SB24","control","Clostridium_XVIII",0.000860585197934596
"SB25","control","Clostridium_XVIII",0.00575447570332481
"SB26","control","Clostridium_XVIII",0.0008058017727639
"SB28","patient","Clostridium_XVIII",0.001573564122738
"SB29","patient","Clostridium_XVIII",0.000359971202303816
"SB3","control","Clostridium_XVIII",0.00103626943005181
"SB30","patient","Clostridium_XVIII",0.00802543912780133
"SB31","control","Clostridium_XVIII",0.0032967032967033
"SB32","control","Clostridium_XVIII",0.00774113639882335
"SB33","control","Clostridium_XVIII",0.00120592626622258
"SB34","patient","Clostridium_XVIII",0.0103905100008659
"SB35","patient","Clostridium_XVIII",0
"SB36","patient","Clostridium_XVIII",0
"SB38","patient","Clostridium_XVIII",0.000424937776968372
"SB39","patient","Clostridium_XVIII",0.0112721417069243
"SB4","patient","Clostridium_XVIII",0
"SB40","control","Clostridium_XVIII",0.00606926097822206
"SB41","patient","Clostridium_XVIII",8.85269121813031e-05
"SB42","patient","Clostridium_XVIII",0.00417837878902986
"SB43","patient","Clostridium_XVIII",0.0001941370607649
"SB44","patient","Clostridium_XVIII",0.00356946732564525
"SB45","control","Clostridium_XVIII",8.81367882954345e-05
"SB5","patient","Clostridium_XVIII",0.010349711297527
"SB6","patient","Clostridium_XVIII",0.00185391175380052
"SB7","control","Clostridium_XVIII",0.0016276272026042
