"feature","Sample.type","visit","mean","sd","median","incidence"
"Pasteurellales","control",2,0.00490998363338789,0.00694376544536708,0.00490998363338789,0.5
"Pasteurellales","patient",1,0.000559242457740558,0.001721593574421,0,0.347826086956522
"Pasteurellales","patient",2,0.00134558980975224,0.00204648656500368,0.000192012288786482,0.647058823529412
"Pasteurellales","patient",3,0.00707229539031266,0.0144512255604111,0.000508560773012375,0.5
"Pasteurellales","patient",4,0.021972089793753,0.0531504350158372,0.000223563603845294,0.769230769230769
"Bifidobacteriales","control",1,0.0156490880875175,0.0449947082068143,0.00159224523304688,0.777777777777778
"Bifidobacteriales","control",2,0.00674891021668547,0.00897230749463728,0.00674891021668547,1
"Bifidobacteriales","patient",1,0.0017907298718378,0.00469900217139432,0.000301477238468496,0.652173913043478
"Bifidobacteriales","patient",2,0.000726591520680815,0.00187240482556798,7.1921749136939e-05,0.588235294117647
"Bifidobacteriales","patient",3,0.00366523261244736,0.0070439358101567,0.000183078878220904,0.571428571428571
"Bifidobacteriales","patient",4,0.00281317480050769,0.00504415830734824,0.00022306491188936,0.615384615384615
"Verrucomicrobiales","control",1,0.00255046882428031,0.00511977687034069,0,0.388888888888889
"Verrucomicrobiales","control",2,0.0213629309477275,0.0292859112856005,0.0213629309477275,1
"Verrucomicrobiales","patient",1,0.0105567272659478,0.0368540880165932,0,0.347826086956522
"Verrucomicrobiales","patient",2,0.000390293413950836,0.00111218349936529,0,0.117647058823529
"Verrucomicrobiales","patient",3,0.000572674705552087,0.00184383069796791,0,0.142857142857143
"Verrucomicrobiales","patient",4,2.84610403933316e-05,0.000102617740491209,0,0.0769230769230769
"Rhizobiales","control",1,0.00635191401580971,0.00605099451922063,0.00703918317051883,0.888888888888889
"Rhizobiales","control",2,0.00245499181669394,0.00347188272268354,0.00245499181669394,0.5
"Rhizobiales","patient",1,0.00180490922760381,0.00305769082251354,0.000301477238468496,0.565217391304348
"Rhizobiales","patient",2,0.00274925874473746,0.00520039121698669,0.000386309201885189,0.647058823529412
"Rhizobiales","patient",3,0.000644242323659205,0.00201718641839528,0,0.214285714285714
"Rhizobiales","patient",4,0.00129645189761725,0.00315551619008147,0,0.461538461538462
